id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,lotSize,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,listingAgent,listingOffice,history,bedrooms,bathrooms,squareFootage,yearBuilt,hoa,builder
"4612-Bradley-Ave,-Orlando,-FL-32839","4612 Bradley Ave, Orlando, FL 32839",4612 Bradley Ave,,Orlando,FL,32839,Orange,28.49533,-81.382196,Single Family,10454.0,Active,499900,Standard,2024-07-10T00:00:00.000Z,,2021-10-05T14:51:49.706Z,2025-04-25T13:48:32.143Z,290,StellarMLS,OM681851,"{'name': 'Rosemary Rahme-freimuth', 'phone': '3522664807', 'email': 'rosefreimuthsells@gmail.com'}","{'name': 'RE/MAX Foxfire - HWY 40', 'phone': '3527323344', 'email': 'boone@foxfirerealty.com', 'website': 'http://www.foxfirerealty.com'}","{'2024-07-10': {'event': 'Sale Listing', 'price': 499900, 'listingType': 'Standard', 'listedDate': '2024-07-10T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 290}}",4.0,3.0,2379.0,1960.0,,
"1964-Lake-Atriums-Cir,-Apt-162,-Orlando,-FL-32839","1964 Lake Atriums Cir, Apt 162, Orlando, FL 32839",1964 Lake Atriums Cir,Apt 162,Orlando,FL,32839,Orange,28.488988,-81.405692,Condo,,Active,136999,Standard,2024-07-12T00:00:00.000Z,,2024-07-13T00:00:00.000Z,2025-04-25T13:48:32.139Z,288,StellarMLS,O6222601,"{'name': 'Orlando Silva', 'phone': '4074632821', 'email': 'orlandosilva@remax.net'}","{'name': 'Luxe Properties', 'phone': '3058097650', 'email': 'sales@luxeknows.com'}","{'2024-07-12': {'event': 'Sale Listing', 'price': 136999, 'listingType': 'Standard', 'listedDate': '2024-07-12T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 288}}",1.0,1.0,660.0,1986.0,{'fee': 247},
"1320-42nd-St,-Orlando,-FL-32839","1320 42nd St, Orlando, FL 32839",1320 42nd St,,Orlando,FL,32839,Orange,28.500604,-81.398253,Single Family,8599.0,Active,265000,Standard,2024-08-05T00:00:00.000Z,,2024-08-06T00:00:00.000Z,2025-04-25T13:48:32.106Z,264,StellarMLS,O6229829,"{'name': 'Peter Quinones, Sr', 'phone': '3214377363', 'email': 'peter@vivaorlando.com'}","{'name': 'INVESTOR TRUSTEE SERVICES', 'phone': '4073776349', 'email': 'melina@investortrusteeservices.com'}","{'2024-08-05': {'event': 'Sale Listing', 'price': 265000, 'listingType': 'Standard', 'listedDate': '2024-08-05T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 264}}",3.0,2.0,1012.0,1957.0,,
"1413-45th-St,-Orlando,-FL-32839","1413 45th St, Orlando, FL 32839",1413 45th St,,Orlando,FL,32839,Orange,28.498382,-81.399616,Single Family,7193.0,Active,214200,Foreclosure,2024-07-24T00:00:00.000Z,,2024-07-24T00:00:00.000Z,2025-04-25T13:48:32.079Z,276,StellarMLS,S5109154,"{'name': 'Cima Realty', 'phone': '4074160502', 'email': 'cimarealtyoffice@gmail.com', 'website': 'https://www.facebook.com/cimarealtyflorida/'}","{'name': 'Cima Realty Inc', 'phone': '4077304230', 'email': 'cimarealtyoffice@gmail.com', 'website': 'https://cimarealtyflorida.net'}","{'2024-07-24': {'event': 'Sale Listing', 'price': 214200, 'listingType': 'Foreclosure', 'listedDate': '2024-07-24T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 276}}",4.0,2.0,1603.0,1958.0,,
"1932-Lake-Atriums-Cir,-Apt-70,-Orlando,-FL-32839","1932 Lake Atriums Cir, Apt 70, Orlando, FL 32839",1932 Lake Atriums Cir,Apt 70,Orlando,FL,32839,Orange,28.490136,-81.406663,Condo,9668.0,Active,119000,Standard,2024-08-16T00:00:00.000Z,,2024-08-17T00:00:00.000Z,2025-04-25T13:47:17.883Z,253,StellarMLS,O6233420,"{'name': 'Kevin Buckley', 'phone': '4074464565', 'email': 'kevinbuckleyrealty@gmail.com', 'website': 'https://www.robertslack.com'}","{'name': 'Robert Slack LLC', 'phone': '3522291187', 'email': 'mls@robertslack.com', 'website': 'www.robertslack.com'}","{'2024-08-16': {'event': 'Sale Listing', 'price': 119000, 'listingType': 'Standard', 'listedDate': '2024-08-16T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 253}}",2.0,2.0,864.0,1986.0,{'fee': 323},
"4008-Dolomite-St,---A5,-Orlando,-FL-32839","4008 Dolomite St, # A5, Orlando, FL 32839",4008 Dolomite St,# A5,Orlando,FL,32839,Orange,28.501722,-81.408984,Condo,6959.0,Active,85000,Standard,2024-09-06T00:00:00.000Z,,2024-09-07T00:00:00.000Z,2025-04-25T13:46:03.826Z,232,StellarMLS,O6238685,"{'name': 'Joanna Browning', 'phone': '4074533000', 'email': 'joanna.browning@mainframere.com', 'website': 'https://mainframere.com/agent/joanna-browning/'}","{'name': 'Mainframe Real Estate', 'phone': '4075134257', 'email': 'sean@mainframere.com', 'website': 'www.uownrealestate.com'}","{'2024-09-06': {'event': 'Sale Listing', 'price': 85000, 'listingType': 'Standard', 'listedDate': '2024-09-06T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 232}}",1.0,1.5,762.0,1974.0,{'fee': 410},
"1940-Lake-Atriums-Cir,-Apt-96,-Orlando,-FL-32839","1940 Lake Atriums Cir, Apt 96, Orlando, FL 32839",1940 Lake Atriums Cir,Apt 96,Orlando,FL,32839,Orange,28.489677,-81.406643,Condo,7214.0,Active,99900,Standard,2024-09-04T00:00:00.000Z,,2023-03-31T00:00:00.000Z,2025-04-25T13:46:03.816Z,234,StellarMLS,S5111709,"{'name': 'Tabhata Tejero', 'phone': '3216979658', 'email': 'tabhata@icloud.com'}","{'name': 'B&T REALTY AND MANAGEMENT GROUP LLC', 'phone': '3216979658', 'email': 'tabhata@icloud.com'}","{'2024-09-04': {'event': 'Sale Listing', 'price': 99900, 'listingType': 'Standard', 'listedDate': '2024-09-04T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 234}}",1.0,1.0,526.0,1986.0,{'fee': 197},
"3701-Castle-Pines-Ln,-Apt-3914,-Orlando,-FL-32839","3701 Castle Pines Ln, Apt 3914, Orlando, FL 32839",3701 Castle Pines Ln,Apt 3914,Orlando,FL,32839,Orange,28.479312,-81.418815,Condo,10019.0,Active,165000,Standard,2024-09-10T00:00:00.000Z,,2024-09-11T00:00:00.000Z,2025-04-25T13:46:03.788Z,228,StellarMLS,S5112023,"{'name': 'Maria Genao-santos', 'phone': '4075526355', 'email': 'marias.vitalrealty@gmail.com', 'website': 'http://www.vitalrealtygroupinc.com'}","{'name': 'VITAL REALTY GROUP INC', 'phone': '4077919906', 'email': 'customerservice.vitalrealty@gmail.com', 'website': 'http://www.vitalrealtygroupinc.com/'}","{'2024-09-10': {'event': 'Sale Listing', 'price': 165000, 'listingType': 'Standard', 'listedDate': '2024-09-10T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 228}}",2.0,2.0,1062.0,2000.0,{'fee': 304},
"2616-Lemon-Tree-Ln,---F,-Orlando,-FL-32839","2616 Lemon Tree Ln, # F, Orlando, FL 32839",2616 Lemon Tree Ln,# F,Orlando,FL,32839,Orange,28.498113,-81.412161,Condo,686.0,Active,92500,Standard,2024-09-16T00:00:00.000Z,,2024-09-17T00:00:00.000Z,2025-04-25T13:46:03.788Z,222,StellarMLS,S5112387,"{'name': 'Tabhata Tejero', 'phone': '3216979658', 'email': 'tabhata@icloud.com'}","{'name': 'B&T REALTY AND MANAGEMENT GROUP LLC', 'phone': '3216979658', 'email': 'tabhata@icloud.com'}","{'2024-09-16': {'event': 'Sale Listing', 'price': 92500, 'listingType': 'Standard', 'listedDate': '2024-09-16T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 222}}",1.0,1.0,642.0,1976.0,{'fee': 395},
"2485-Lakeway-Branch-Dr,---2105,-Orlando,-FL-32839","2485 Lakeway Branch Dr, # 2105, Orlando, FL 32839",2485 Lakeway Branch Dr,# 2105,Orlando,FL,32839,Orange,28.499831,-81.410358,Condo,1250.0,Active,199000,Standard,2024-08-31T00:00:00.000Z,,2024-09-01T00:00:00.000Z,2025-04-25T13:46:03.787Z,238,StellarMLS,O6237684,"{'name': 'Antonio Lucas Desmarais', 'phone': '4077827217', 'email': 'lucasd@talentrealty.com'}","{'name': 'Talent Realty Solutions', 'phone': '4072925400', 'email': 'budd.nesi@kw.com', 'website': 'talentrealty.com'}","{'2024-08-31': {'event': 'Sale Listing', 'price': 199000, 'listingType': 'Standard', 'listedDate': '2024-08-31T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 238}}",2.0,2.0,1231.0,1985.0,{'fee': 412},
"1916-Lake-Atriums-Cir,-Apt-46,-Orlando,-FL-32839","1916 Lake Atriums Cir, Apt 46, Orlando, FL 32839",1916 Lake Atriums Cir,Apt 46,Orlando,FL,32839,Orange,28.490198,-81.405637,Condo,7078.0,Active,99900,Standard,2024-09-16T00:00:00.000Z,,2024-09-17T00:00:00.000Z,2025-04-25T13:46:03.781Z,222,StellarMLS,S5112054,"{'name': 'Tabhata Tejero', 'phone': '3216979658', 'email': 'tabhata@icloud.com'}","{'name': 'B&T REALTY AND MANAGEMENT GROUP LLC', 'phone': '3216979658', 'email': 'tabhata@icloud.com'}","{'2024-09-16': {'event': 'Sale Listing', 'price': 99900, 'listingType': 'Standard', 'listedDate': '2024-09-16T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 222}}",1.0,1.0,526.0,1986.0,{'fee': 198},
"1149-Holden-Ave,-Orlando,-FL-32839","1149 Holden Ave, Orlando, FL 32839",1149 Holden Ave,,Orlando,FL,32839,Orange,28.495234,-81.394239,Single Family,11326.0,Active,399900,Standard,2024-09-20T00:00:00.000Z,,2024-09-21T00:00:00.000Z,2025-04-25T13:44:24.578Z,218,StellarMLS,O6242969,"{'name': 'Maite Gonzalez', 'phone': '4076968000', 'email': 'maite.gonzalez@floridamoves.com', 'website': 'https://www.coldwellbankerhomes.com/fl/winter-springs/agent/maite-gonzalez/aid_96970/'}","{'name': 'LA ROSA REALTY ORLANDO LLC', 'phone': '3213948827', 'email': 'reyzapata14@gmail.com'}","{'2024-09-20': {'event': 'Sale Listing', 'price': 399900, 'listingType': 'Standard', 'listedDate': '2024-09-20T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 218}}",3.0,2.0,1655.0,1957.0,,
"2114-Mo-Ho-Dr,-Unit-199,-Orlando,-FL-32839","2114 Mo Ho Dr, Unit 199, Orlando, FL 32839",2114 Mo Ho Dr,Unit 199,Orlando,FL,32839,Orange,28.508089,-81.412041,Manufactured,,Active,67000,Standard,2024-09-22T00:00:00.000Z,,2024-02-08T00:00:00.000Z,2025-04-25T13:44:24.573Z,216,MyStateMLS,11345902,"{'name': 'Ruby Bowman', 'phone': '3523650221', 'email': 'ruby.bowman@fourstarhomes.com'}","{'name': 'Four Star Homes, Inc.', 'phone': '8887119786', 'email': 'sales@fourstarhomes.com', 'website': 'www.fourstarhomes.com'}","{'2024-09-22': {'event': 'Sale Listing', 'price': 67000, 'listingType': 'Standard', 'listedDate': '2024-09-22T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 216}}",2.0,2.0,672.0,1972.0,,
"5150-Picadilly-Circus-Ct,---7,-Orlando,-FL-32839","5150 Picadilly Circus Ct, # 7, Orlando, FL 32839",5150 Picadilly Circus Ct,# 7,Orlando,FL,32839,Orange,28.487736,-81.411043,Condo,732.0,Active,180000,Standard,2024-09-23T00:00:00.000Z,,2024-09-24T00:00:00.000Z,2025-04-25T13:44:24.565Z,215,StellarMLS,S5112590,"{'name': 'Marcos Piccone', 'phone': '3212063210', 'email': 'piccone6974@gmail.com'}","{'name': 'Advisers Realty & Management', 'phone': '4072707003', 'email': 'advisers.rm@gmail.com'}","{'2024-09-23': {'event': 'Sale Listing', 'price': 180000, 'listingType': 'Standard', 'listedDate': '2024-09-23T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 215}}",3.0,2.5,1405.0,1974.0,{'fee': 413},
"4815-S-Texas-Ave-Apt-C,-Orlando,-FL-32839","4815 S Texas Ave Apt C, Orlando, FL 32839",4815 S Texas Ave Apt C,,Orlando,FL,32839,Orange,28.491875,-81.408508,Condo,1270.0,Active,144888,Standard,2024-10-01T00:00:00.000Z,,2024-10-02T00:00:00.000Z,2025-04-25T13:44:24.553Z,207,StellarMLS,O6245648,"{'name': 'Sue Lin', 'phone': '3217958011', 'email': 'suelincino@gmail.com'}","{'name': 'VISTA REALTY INVESTMENT', 'phone': '4078955757', 'email': 'tuoiluu4905@gmail.com', 'website': 'www.vistarealtyinc.co'}","{'2024-10-01': {'event': 'Sale Listing', 'price': 144888, 'listingType': 'Standard', 'listedDate': '2024-10-01T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 207}}",3.0,2.0,1270.0,1973.0,{'fee': 536},
"1916-Lake-Atriums-Cir,-Apt-25,-Orlando,-FL-32839","1916 Lake Atriums Cir, Apt 25, Orlando, FL 32839",1916 Lake Atriums Cir,Apt 25,Orlando,FL,32839,Orange,28.490198,-81.405637,Condo,7078.0,Active,113900,Standard,2024-09-30T00:00:00.000Z,,2024-10-01T00:00:00.000Z,2025-04-25T13:44:24.471Z,208,StellarMLS,O6245927,"{'name': 'Eric Amkhinich', 'phone': '4048627785', 'email': 'realtyandmanagement@gmail.com'}","{'name': 'International Florida Properties Inc', 'phone': '4078833281', 'email': 'realtyandmanagement@gmail.com'}","{'2024-09-30': {'event': 'Sale Listing', 'price': 113900, 'listingType': 'Standard', 'listedDate': '2024-09-30T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 208}}",1.0,1.0,660.0,1986.0,{'fee': 247},
"5214-Via-Hacienda-Cir,-Apt-307,-Orlando,-FL-32839","5214 Via Hacienda Cir, Apt 307, Orlando, FL 32839",5214 Via Hacienda Cir,Apt 307,Orlando,FL,32839,Orange,28.4897,-81.408862,Condo,24394.0,Active,138000,Standard,2024-10-04T00:00:00.000Z,,2024-10-04T00:00:00.000Z,2025-04-25T13:42:35.668Z,204,StellarMLS,S5113504,"{'name': 'Adriana Sanchez', 'phone': '3219474014', 'email': 'adrianasanchez@connectrealty.com'}","{'name': 'Agent Trust Realty Corporation', 'phone': '3526887022', 'email': 'agenttrustrealty@gmail.com', 'website': 'www.hernandocountymlssearch.com'}","{'2024-10-04': {'event': 'Sale Listing', 'price': 138000, 'listingType': 'Standard', 'listedDate': '2024-10-04T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 204}}",2.0,2.0,1073.0,1985.0,{'fee': 406},
"5625-Chipola-Cir,-Orlando,-FL-32839","5625 Chipola Cir, Orlando, FL 32839",5625 Chipola Cir,,Orlando,FL,32839,Orange,28.477871,-81.391752,Single Family,40511.0,Active,619999,Standard,2024-10-14T00:00:00.000Z,,2021-06-19T15:35:21.495Z,2025-04-25T13:42:35.633Z,194,StellarMLS,O6243542,"{'name': 'Han Peng', 'phone': '4074322396', 'email': 'myapeng@gmail.com'}","{'name': 'HONEST REAL ESTATE COMPANY', 'phone': '4074171314', 'email': 'brokerdainezheng@gmail.com'}","{'2024-10-14': {'event': 'Sale Listing', 'price': 619999, 'listingType': 'Standard', 'listedDate': '2024-10-14T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 194}}",3.0,2.5,2304.0,1950.0,,
"4743-S-Texas-Ave,---4743B,-Orlando,-FL-32839","4743 S Texas Ave, # 4743B, Orlando, FL 32839",4743 S Texas Ave,# 4743B,Orlando,FL,32839,Orange,28.49316,-81.405523,Condo,9248.0,Active,125000,Standard,2024-10-15T00:00:00.000Z,,2024-10-16T00:00:00.000Z,2025-04-25T13:42:35.582Z,193,StellarMLS,O6249306,"{'name': 'Carmen L Nazario', 'phone': '4079245549', 'email': 'cnazario59@gmail.com'}","{'name': 'MARVIEW INTERNATIONAL REALTY LLC', 'phone': '8883091588', 'email': 'realtorforinfo@gmail.com'}","{'2024-10-15': {'event': 'Sale Listing', 'price': 125000, 'listingType': 'Standard', 'listedDate': '2024-10-15T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 193}}",2.0,2.0,976.0,1973.0,{'fee': 409},
"58-Overleaf-Ln,-Orlando,-FL-32839","58 Overleaf Ln, Orlando, FL 32839",58 Overleaf Ln,,Orlando,FL,32839,Orange,28.494225,-81.390563,Single Family,7347.0,Active,759000,New Construction,2024-10-22T00:00:00.000Z,,2024-01-18T00:00:00.000Z,2025-04-25T13:39:52.078Z,186,StellarMLS,O6250285,"{'name': 'Rodrigo Cerveira', 'phone': '4072191417', 'email': 'rodrigocdrim@gmail.com'}","{'name': 'United Realty Group Inc.', 'phone': '9544502000', 'email': 'broker@urgfl.com'}","{'2024-10-22': {'event': 'Sale Listing', 'price': 759000, 'listingType': 'New Construction', 'listedDate': '2024-10-22T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 186}}",3.0,3.0,2825.0,2023.0,{'fee': 155},
"3702-Palm-Desert-Ln,-Apt-5431,-Orlando,-FL-32839","3702 Palm Desert Ln, Apt 5431, Orlando, FL 32839",3702 Palm Desert Ln,Apt 5431,Orlando,FL,32839,Orange,28.478382,-81.41993,Condo,10019.0,Active,169999,Standard,2024-10-23T00:00:00.000Z,,2024-05-30T00:00:00.000Z,2025-04-25T13:39:52.071Z,185,StellarMLS,O6251769,"{'name': 'Anthony Rhodes, M.b.a', 'phone': '4077198709', 'email': 'prospect.143929.91@realtyjuggler.com', 'website': 'http://www.moveuporlando.com'}","{'name': 'Orlando Realty Professionals', 'phone': '4074846789', 'email': 'josephschwartz@incentiveproperties.com', 'website': 'www.incentiveproperties.com'}","{'2024-10-23': {'event': 'Sale Listing', 'price': 169999, 'listingType': 'Standard', 'listedDate': '2024-10-23T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 185}}",1.0,1.0,768.0,2000.0,{'fee': 218},
"3523-Hopi-Dr,-Orlando,-FL-32839","3523 Hopi Dr, Orlando, FL 32839",3523 Hopi Dr,,Orlando,FL,32839,Orange,28.505964,-81.411774,Manufactured,,Active,100000,Standard,2024-10-24T00:00:00.000Z,,2024-08-17T00:00:00.000Z,2025-04-25T13:39:52.065Z,184,MyStateMLS,11356748,"{'name': 'Donovan Frantz', 'phone': '3863220498', 'email': 'findingwithfrantz@gmail.com'}","{'name': 'Weichert, Realtors - Hallmark Properties', 'phone': '4078410888'}","{'2024-08-16': {'event': 'Sale Listing', 'price': 120000, 'listingType': 'Standard', 'listedDate': '2024-08-16T00:00:00.000Z', 'removedDate': '2024-10-24T00:00:00.000Z', 'daysOnMarket': 69}, '2024-10-24': {'event': 'Sale Listing', 'price': 100000, 'listingType': 'Standard', 'listedDate': '2024-10-24T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 184}}",2.0,2.0,1200.0,1991.0,,
