id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,listingAgent,listingOffice,history,hoa
"6016-Westgate-Dr,-Apt-301,-Orlando,-FL-32835","6016 Westgate Dr, Apt 301, Orlando, FL 32835",6016 Westgate Dr,Apt 301,Orlando,FL,32835,Orange,28.531223,-81.465371,Condo,2.0,2.0,1515.0,5936.0,1988.0,Active,220000,Standard,2024-04-23T00:00:00.000Z,,2021-08-19T12:58:20.754Z,2025-04-25T13:51:37.381Z,368,StellarMLS,S5102898,"{'name': 'Shao Mai', 'phone': '4079706798', 'email': 'shao7710@aol.com'}","{'name': 'Magnus Realty Group', 'phone': '4072866042', 'email': 'reominier55@gmail.com', 'website': 'www.magnusrealtygroup.com'}","{'2024-04-23': {'event': 'Sale Listing', 'price': 220000, 'listingType': 'Standard', 'listedDate': '2024-04-23T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 368}}",{'fee': 486}
"3480-Soho-St,-Apt-307,-Orlando,-FL-32835","3480 Soho St, Apt 307, Orlando, FL 32835",3480 Soho St,Apt 307,Orlando,FL,32835,Orange,28.506079,-81.472405,Condo,2.0,2.0,1107.0,11761.0,2000.0,Active,207000,Standard,2024-05-10T00:00:00.000Z,,2024-05-11T00:00:00.000Z,2025-04-25T13:50:17.282Z,351,StellarMLS,O6203256,"{'name': 'Chris Bessette', 'phone': '4074998993', 'email': 'chris@mypinnaclehomes.com', 'website': 'http://www.mypinnaclehomes.com'}","{'name': 'Keller Williams Classic Realty', 'phone': '4072925400', 'email': 'murraycoleman@kw.com'}","{'2024-05-10': {'event': 'Sale Listing', 'price': 207000, 'listingType': 'Standard', 'listedDate': '2024-05-10T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 351}}",{'fee': 550}
"3446-Soho-St,-Apt-304,-Orlando,-FL-32835","3446 Soho St, Apt 304, Orlando, FL 32835",3446 Soho St,Apt 304,Orlando,FL,32835,Orange,28.506746,-81.47344,Condo,2.0,2.0,1233.0,11761.0,2000.0,Active,200000,Standard,2024-05-13T00:00:00.000Z,,2024-01-21T00:00:00.000Z,2025-04-25T13:50:17.276Z,348,StellarMLS,O6204604,"{'name': 'Frank A. Baloun', 'phone': '4077063110', 'email': 'yourrealtor@balounteam.com', 'website': 'http://www.finehomesofgreaterorlando.com'}","{'name': 'EXP REALTY LLC', 'phone': '8888838509', 'email': 'a.shahin.broker@exprealty.net'}","{'2024-05-13': {'event': 'Sale Listing', 'price': 200000, 'listingType': 'Standard', 'listedDate': '2024-05-13T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 348}}",{'fee': 613}
"1059-S-Hiawassee-Rd,-Apt-1824,-Orlando,-FL-32835","1059 S Hiawassee Rd, Apt 1824, Orlando, FL 32835",1059 S Hiawassee Rd,Apt 1824,Orlando,FL,32835,Orange,28.528904,-81.472246,Condo,2.0,2.0,836.0,3784.0,1989.0,Active,200000,Standard,2024-06-27T00:00:00.000Z,,2022-10-27T08:32:04.007Z,2025-04-25T13:50:17.261Z,303,StellarMLS,O6218779,"{'name': 'Andre Leirias', 'phone': '4076471211', 'email': 'andre.leirias@hotmail.com', 'website': 'https://www.coldwellbankerhomes.com/fl/winter-park/agent/andre-leirias/aid_222889/'}","{'name': 'GOLDEN DOOR REALTY', 'phone': '4077487262', 'email': 'andredsl02@yahoo.com.br'}","{'2024-06-27': {'event': 'Sale Listing', 'price': 200000, 'listingType': 'Standard', 'listedDate': '2024-06-27T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 303}}",{'fee': 446}
"3480-Soho-St,-Apt-101,-Orlando,-FL-32835","3480 Soho St, Apt 101, Orlando, FL 32835",3480 Soho St,Apt 101,Orlando,FL,32835,Orange,28.506079,-81.472405,Condo,3.0,2.0,1260.0,11761.0,2000.0,Active,278000,Standard,2024-06-17T00:00:00.000Z,,2020-11-24T13:51:03.582Z,2025-04-25T13:50:17.259Z,313,StellarMLS,O6215414,"{'name': 'Mike Berlant', 'phone': '4075925763', 'email': 'mike@mikeberlant.com', 'website': 'http://www.bestorlandopropertysearch.com'}","{'name': 'RE MAX Exclusive Collection', 'phone': '4076296330', 'email': 'exclusivecollection@remax.net'}","{'2024-06-17': {'event': 'Sale Listing', 'price': 278000, 'listingType': 'Standard', 'listedDate': '2024-06-17T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 313}}",{'fee': 626}
"6682-Time-Square-Ave,-Apt-101,-Orlando,-FL-32835","6682 Time Square Ave, Apt 101, Orlando, FL 32835",6682 Time Square Ave,Apt 101,Orlando,FL,32835,Orange,28.507511,-81.473658,Condo,3.0,2.5,1634.0,3674.0,2000.0,Active,265000,Standard,2024-06-03T00:00:00.000Z,,2024-06-04T00:00:00.000Z,2025-04-25T13:50:17.243Z,327,StellarMLS,O6210708,"{'name': 'Vi Cleveland', 'phone': '4079706622', 'email': 'mscleve@cs.com'}","{'name': 'Julian Properties, Inc.', 'phone': '4072914900', 'email': 'bojulian@julianproperties.com', 'website': 'www.julianproperties.com'}","{'2024-06-03': {'event': 'Sale Listing', 'price': 265000, 'listingType': 'Standard', 'listedDate': '2024-06-03T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 327}}",{'fee': 813}
"6100-Stevenson-Dr,-Unit-207,-Orlando,-FL-32835","6100 Stevenson Dr, Unit 207, Orlando, FL 32835",6100 Stevenson Dr,Unit 207,Orlando,FL,32835,Orange,28.508575,-81.464783,Condo,2.0,2.0,1050.0,15246.0,2003.0,Active,209000,Standard,2024-06-12T00:00:00.000Z,,2024-06-13T00:00:00.000Z,2025-04-25T13:50:17.219Z,318,StellarMLS,O6213682,"{'name': 'Kasia Sikorska-krysiak', 'phone': '4076259379', 'email': 'kasia_krysiak@yahoo.com'}","{'name': 'Homestead Realty Inc', 'phone': '4073674201', 'email': 'frontdesk@jzrents.com', 'website': 'http://www.orlandolook.com'}","{'2024-06-12': {'event': 'Sale Listing', 'price': 209000, 'listingType': 'Standard', 'listedDate': '2024-06-12T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 318}}",{'fee': 538}
"6312-Buford-St,-Apt-303,-Orlando,-FL-32835","6312 Buford St, Apt 303, Orlando, FL 32835",6312 Buford St,Apt 303,Orlando,FL,32835,Orange,28.505541,-81.466655,Condo,3.0,2.5,2260.0,20473.0,2005.0,Active,425000,Standard,2024-06-12T00:00:00.000Z,,2024-06-13T00:00:00.000Z,2025-04-25T13:50:17.218Z,318,StellarMLS,O6204201,"{'name': 'Cleberto Copetti', 'phone': '4074020232', 'email': 'realestatecompass@gmail.com', 'website': 'https://realestatecompass.us'}","{'name': 'Real Estate Compass, Llc', 'phone': '4074020232', 'email': 'realestatecompass@gmail.com'}","{'2024-06-12': {'event': 'Sale Listing', 'price': 425000, 'listingType': 'Standard', 'listedDate': '2024-06-12T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 318}}",{'fee': 541}
"6214-Stevenson-Dr,-Unit-201,-Orlando,-FL-32835","6214 Stevenson Dr, Unit 201, Orlando, FL 32835",6214 Stevenson Dr,Unit 201,Orlando,FL,32835,Orange,28.508604,-81.466102,Condo,3.0,2.0,1206.0,15246.0,2002.0,Active,229900,Standard,2024-05-29T00:00:00.000Z,,2024-05-30T00:00:00.000Z,2025-04-25T13:50:17.201Z,332,StellarMLS,O6209268,"{'name': 'Allan Sutton', 'phone': '4073518468', 'email': 'asutton@suncrestfl.com', 'website': 'http://www.floridamoves.com/allan.sutton'}","{'name': 'Sun Crest Florida Properties', 'phone': '4078763615', 'email': 'suncrestorlando@suncrestfl.com', 'website': 'www.suncrestfloridaproperties.com'}","{'2024-05-29': {'event': 'Sale Listing', 'price': 229900, 'listingType': 'Standard', 'listedDate': '2024-05-29T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 332}}",{'fee': 539}
"3432-Westchester-Square-Blvd,-Apt-205,-Orlando,-FL-32835","3432 Westchester Square Blvd, Apt 205, Orlando, FL 32835",3432 Westchester Square Blvd,Apt 205,Orlando,FL,32835,Orange,28.506839,-81.472664,Condo,1.0,1.0,658.0,6122.0,2000.0,Active,149900,Standard,2024-07-10T00:00:00.000Z,,2020-09-15T19:16:09.135Z,2025-04-25T13:48:32.142Z,290,StellarMLS,O6222331,"{'name': 'Mona Loubna Cherkaoui', 'phone': '4079475736', 'email': 'info@worldprogroup.com', 'website': 'http://www.worldprogroup.com'}","{'name': 'World Properties Group', 'phone': '4075745920', 'email': 'mona@worldprogroup.com', 'website': 'www.worldprogroup.com'}","{'2024-07-10': {'event': 'Sale Listing', 'price': 149900, 'listingType': 'Standard', 'listedDate': '2024-07-10T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 290}}",{'fee': 325}
"1013-Nin-St,-Orlando,-FL-32835","1013 Nin St, Orlando, FL 32835",1013 Nin St,,Orlando,FL,32835,Orange,28.532978,-81.487343,Single Family,3.0,2.0,2152.0,8147.0,1986.0,Active,440000,Standard,2024-07-27T00:00:00.000Z,,2024-02-28T00:00:00.000Z,2025-04-25T13:48:32.129Z,273,StellarMLS,O6227280,"{'name': 'Youree Lundy', 'phone': '4076968000', 'email': 'youree.lundy@cbrealty.com', 'website': 'https://www.coldwellbankerhomes.com/fl/winter-springs/agent/youree-lundy/aid_238050/'}","{'name': 'Keller Williams Advantage III Realty', 'phone': '4072070825', 'email': 'klrw329@kw.com'}","{'2024-07-27': {'event': 'Sale Listing', 'price': 440000, 'listingType': 'Standard', 'listedDate': '2024-07-27T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 273}}",{'fee': 75}
"1073-S-Hiawassee-Rd,-Apt-1018,-Orlando,-FL-32835","1073 S Hiawassee Rd, Apt 1018, Orlando, FL 32835",1073 S Hiawassee Rd,Apt 1018,Orlando,FL,32835,Orange,28.52886,-81.471522,Condo,2.0,2.0,829.0,7034.0,1989.0,Active,174900,Standard,2024-08-08T00:00:00.000Z,,2021-08-08T12:59:06.800Z,2025-04-25T13:48:32.103Z,261,StellarMLS,O6230829,"{'name': 'John Zhong', 'phone': '3053351112', 'email': 'c323@leadgen.reliancenetwork.com'}","{'name': 'Miami New Realty', 'phone': '3054853100', 'email': 'manny@miaminewrealty.com'}","{'2024-08-08': {'event': 'Sale Listing', 'price': 174900, 'listingType': 'Standard', 'listedDate': '2024-08-08T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 261}}",{'fee': 499}
"3383-Westchester-Square-Blvd,-Apt-204,-Orlando,-FL-32835","3383 Westchester Square Blvd, Apt 204, Orlando, FL 32835",3383 Westchester Square Blvd,Apt 204,Orlando,FL,32835,Orange,28.507432,-81.472533,Condo,2.0,2.0,1256.0,5637.0,2000.0,Active,179900,Standard,2024-07-31T00:00:00.000Z,,2024-03-15T00:00:00.000Z,2025-04-25T13:48:32.101Z,269,StellarMLS,O6228454,"{'name': 'Erica Diaz Team', 'phone': '3213217209', 'email': 'info@ericadiazteam.com', 'website': 'https://ericadiazteam.com/'}","{'name': 'HOMEVEST REALTY', 'phone': '4078975400', 'email': 'broker@homevest.com'}","{'2024-07-31': {'event': 'Sale Listing', 'price': 179900, 'listingType': 'Standard', 'listedDate': '2024-07-31T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 269}}",{'fee': 440}
"1065-S-Hiawassee-Rd,-Apt-1427,-Orlando,-FL-32835","1065 S Hiawassee Rd, Apt 1427, Orlando, FL 32835",1065 S Hiawassee Rd,Apt 1427,Orlando,FL,32835,Orange,28.52957,-81.471037,Condo,2.0,2.0,934.0,,1989.0,Active,199000,Standard,2024-07-30T00:00:00.000Z,,2024-07-30T00:00:00.000Z,2025-04-25T13:48:32.091Z,270,StellarMLS,O6227851,"{'name': 'Deidre Graybill', 'phone': '4072762865', 'email': 'broker.gra@gmail.com', 'website': 'http://www.graybillrealty.com'}","{'name': 'Graybill Realty And Associates Llc', 'phone': '8005760918', 'email': 'integrityremgmt@aol.com'}","{'2024-07-30': {'event': 'Sale Listing', 'price': 199000, 'listingType': 'Standard', 'listedDate': '2024-07-30T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 270}}",{'fee': 585}
"6413-Astor-Village-Ave,-Apt-303,-Orlando,-FL-32835","6413 Astor Village Ave, Apt 303, Orlando, FL 32835",6413 Astor Village Ave,Apt 303,Orlando,FL,32835,Orange,28.508923,-81.470715,Condo,1.0,1.0,945.0,22651.0,2000.0,Active,179900,Standard,2024-08-08T00:00:00.000Z,,2024-08-09T00:00:00.000Z,2025-04-25T13:48:32.071Z,261,StellarMLS,O6230938,"{'name': 'Paulo Alves ', 'phone': '4074687386', 'email': 'paulo@depaularealtyusa.com', 'website': 'http://www.depaularealty.com'}","{'name': 'De Paula Realty Usa Inc.', 'phone': '3212341757', 'email': 'realtorpaulo@aol.com'}","{'2024-08-08': {'event': 'Sale Listing', 'price': 179900, 'listingType': 'Standard', 'listedDate': '2024-08-08T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 261}}",{'fee': 470}
"6451-Old-Park-Ln,-Unit-110,-Orlando,-FL-32835","6451 Old Park Ln, Unit 110, Orlando, FL 32835",6451 Old Park Ln,Unit 110,Orlando,FL,32835,Orange,28.514808,-81.468556,Condo,3.0,2.0,1412.0,1890.0,2005.0,Active,254555,Standard,2024-08-01T00:00:00.000Z,,2020-09-20T19:35:01.644Z,2025-04-25T13:48:32.070Z,268,StellarMLS,O6228592,"{'name': 'Monza Munnaza Adnan', 'phone': '4073945600', 'email': 'monzarealty@gmail.com'}","{'name': 'OLYMPUS EXECUTIVE REALTY, HOME OF TOP PRODUCERS®', 'phone': '4074690090', 'email': 'broker@oerfl.com', 'website': 'http://olympusexecutiverealty.com'}","{'2024-08-01': {'event': 'Sale Listing', 'price': 254555, 'listingType': 'Standard', 'listedDate': '2024-08-01T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 268}}",{'fee': 631}
"3392-Westchester-Square-Blvd,-Apt-101,-Orlando,-FL-32835","3392 Westchester Square Blvd, Apt 101, Orlando, FL 32835",3392 Westchester Square Blvd,Apt 101,Orlando,FL,32835,Orange,28.507123,-81.472916,Condo,2.0,2.0,1160.0,6122.0,2000.0,Active,199900,Standard,2024-08-08T00:00:00.000Z,,2024-08-09T00:00:00.000Z,2025-04-25T13:47:17.813Z,261,StellarMLS,O6230950,"{'name': 'Paulo Alves ', 'phone': '4074687386', 'email': 'paulo@depaularealtyusa.com', 'website': 'http://www.depaularealty.com'}","{'name': 'De Paula Realty Usa Inc.', 'phone': '3212341757', 'email': 'realtorpaulo@aol.com'}","{'2024-08-08': {'event': 'Sale Listing', 'price': 199900, 'listingType': 'Standard', 'listedDate': '2024-08-08T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 261}}",{'fee': 577}
"6320-Raleigh-St,-Apt-604,-Orlando,-FL-32835","6320 Raleigh St, Apt 604, Orlando, FL 32835",6320 Raleigh St,Apt 604,Orlando,FL,32835,Orange,28.526501,-81.468474,Condo,1.0,1.0,794.0,4790.0,1997.0,Active,163500,Standard,2024-08-19T00:00:00.000Z,,2024-08-20T00:00:00.000Z,2025-04-25T13:47:17.797Z,250,StellarMLS,O6233879,"{'name': 'Caleb Astacio', 'phone': '4077976090', 'email': 'castacio10@gmail.com', 'website': 'http://besthomes.llc'}","{'name': 'BEST HOMES, LLC.', 'phone': '3058793707', 'email': 'besthomesflllc@gmail.com'}","{'2024-08-19': {'event': 'Sale Listing', 'price': 163500, 'listingType': 'Standard', 'listedDate': '2024-08-19T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 250}}",{'fee': 188}
"7801-Belvoir-Dr,-Orlando,-FL-32835","7801 Belvoir Dr, Orlando, FL 32835",7801 Belvoir Dr,,Orlando,FL,32835,Orange,28.522542,-81.501019,Single Family,5.0,3.0,3336.0,8389.0,1996.0,Active,695000,Standard,2024-08-19T00:00:00.000Z,,2021-02-11T14:50:52.634Z,2025-04-25T13:47:17.781Z,250,StellarMLS,O6232594,,"{'name': 'Kardosh Realty', 'phone': '4074994466', 'email': 'allan@adeptarealty.com'}","{'2024-08-19': {'event': 'Sale Listing', 'price': 695000, 'listingType': 'Standard', 'listedDate': '2024-08-19T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 250}}",{'fee': 80}
"3478-Westchester-Square-Blvd,-Apt-202,-Orlando,-FL-32835","3478 Westchester Square Blvd, Apt 202, Orlando, FL 32835",3478 Westchester Square Blvd,Apt 202,Orlando,FL,32835,Orange,28.506621,-81.472369,Condo,3.0,2.0,1600.0,6122.0,2000.0,Active,249900,Standard,2024-08-19T00:00:00.000Z,,2023-12-07T00:00:00.000Z,2025-04-25T13:47:17.771Z,250,StellarMLS,O6233739,"{'name': 'Carolina Robbins', 'phone': '4078370513', 'email': 'carolinarobbins84@gmail.com', 'website': 'http://carolina.kardoshrealty.com'}","{'name': 'Kardosh Realty', 'phone': '4074994466', 'email': 'allan@adeptarealty.com'}","{'2024-08-19': {'event': 'Sale Listing', 'price': 249900, 'listingType': 'Standard', 'listedDate': '2024-08-19T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 250}}",{'fee': 795}
"1069-S-Hiawassee-Rd,-Apt-1336,-Orlando,-FL-32835","1069 S Hiawassee Rd, Apt 1336, Orlando, FL 32835",1069 S Hiawassee Rd,Apt 1336,Orlando,FL,32835,Orange,28.52906,-81.470927,Condo,1.0,1.0,673.0,9202.0,1989.0,Active,155000,Standard,2024-08-22T00:00:00.000Z,,2024-08-23T00:00:00.000Z,2025-04-25T13:47:17.754Z,247,StellarMLS,O6232717,"{'name': 'Rey Perez', 'phone': '4074436666', 'email': 'reyperez@palmetto-group.com', 'website': 'https://www.mindfulrealtors.com'}","{'name': 'IAD FLORIDA LLC', 'phone': '9412284234', 'email': 'chris.pflueger@iadgroup.com'}","{'2024-08-22': {'event': 'Sale Listing', 'price': 155000, 'listingType': 'Standard', 'listedDate': '2024-08-22T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 247}}",{'fee': 359}
"4614-Woodlot-Ct,-Orlando,-FL-32835","4614 Woodlot Ct, Orlando, FL 32835",4614 Woodlot Ct,,Orlando,FL,32835,Orange,28.494526,-81.480302,Single Family,4.0,2.5,2643.0,21780.0,1979.0,Active,700000,Standard,2024-08-29T00:00:00.000Z,,2024-01-12T00:00:00.000Z,2025-04-25T13:46:03.830Z,240,StellarMLS,O6236781,"{'name': 'Drew Belani, Urban Nooks Team', 'phone': '4074563226', 'email': 'drew@urban-nooks.com', 'website': 'http://www.viewhomesforsaleincentralfl.com'}","{'name': 'COMPASS FLORIDA LLC', 'phone': '4072039441', 'email': 'brokerfl@compass.com'}","{'2024-08-29': {'event': 'Sale Listing', 'price': 700000, 'listingType': 'Standard', 'listedDate': '2024-08-29T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 240}}",
