id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,assessorID,lotSize,legalDescription,subdivision,zoning,features,taxAssessments,propertyTaxes,owner,ownerOccupied,hoa
"830-Sky-Lake-Cir,-Apt-A,-Orlando,-FL-32809","830 Sky Lake Cir, Apt A, Orlando, FL 32809",830 Sky Lake Cir,Apt A,Orlando,FL,32809,Orange,28.453068,-81.388836,Condo,2.0,1.0,780.0,1974.0,26-23-29-8070-12-040,4105.0,LAS PALMAS AT SAND LAKE CONDO CB 5/34 BLDG 830 UNIT A,LAS PALMAS AT SAND LAKE CONDO,R-3,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'heating': True, 'heatingType': 'Forced Air', 'unitCount': 1}","{'2022': {'year': 2022, 'value': 78000, 'land': 15600, 'improvements': 62400}, '2023': {'year': 2023, 'value': 97500, 'land': 19500, 'improvements': 78000}, '2024': {'year': 2024, 'value': 105300, 'land': 21060, 'improvements': 84240}}","{'2022': {'year': 2022, 'total': 980}, '2023': {'year': 2023, 'total': 1149}, '2024': {'year': 2024, 'total': 1294}}","{'names': ['Velasco,ana Trust'], 'type': 'Individual', 'mailingAddress': {'id': '12501-Sw-195th-Ter,-Miami,-FL-33177', 'formattedAddress': '12501 Sw 195th Ter, Miami, FL 33177', 'addressLine1': '12501 Sw 195th Ter', 'addressLine2': None, 'city': 'Miami', 'state': 'FL', 'zipCode': '33177'}}",False,
"415-W-Lancaster-Rd,-Apt-8,-Orlando,-FL-32809","415 W Lancaster Rd, Apt 8, Orlando, FL 32809",415 W Lancaster Rd,Apt 8,Orlando,FL,32809,Orange,28.465461,-81.381911,Multi-Family,2.0,1.0,700.0,1963.0,,18295.0,,,,,,,,,
"6150-Anno-Ave,-Orlando,-FL-32809","6150 Anno Ave, Orlando, FL 32809",6150 Anno Ave,,Orlando,FL,32809,Orange,28.468765,-81.371911,Single Family,1.0,1.0,700.0,,,,,,,,,,,,
"785-W-Lancaster-Rd,-Apt-C50,-Orlando,-FL-32809","785 W Lancaster Rd, Apt C50, Orlando, FL 32809",785 W Lancaster Rd,Apt C50,Orlando,FL,32809,Orange,28.466326,-81.387845,Condo,2.0,1.0,900.0,1968.0,232329014103500,,AMBASSADOR HOUSE CONDO CB 5/130 UNIT 50BLDG C,AMBASSADOR HOUSE CONDO,R-3,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block / Stucco', 'heating': True, 'heatingType': 'Forced Air', 'unitCount': 1}",,,{'names': ['']},False,
"6122-Fairlawn-Dr,-Orlando,-FL-32809","6122 Fairlawn Dr, Orlando, FL 32809",6122 Fairlawn Dr,,Orlando,FL,32809,Orange,28.468836,-81.435894,Single Family,2.0,1.0,851.0,1963.0,20-23-29-8196-00-020,7357.0,SOUTHWOOD SUB SECTION 5A Z/19 LOT 2,SOUTHWOOD SUB SEC 5A,R-1,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2022': {'year': 2022, 'value': 129386, 'land': 60000, 'improvements': 69386}, '2023': {'year': 2023, 'value': 163345, 'land': 75000, 'improvements': 88345}, '2024': {'year': 2024, 'value': 167202, 'land': 75000, 'improvements': 92202}}","{'2022': {'year': 2022, 'total': 2116}, '2023': {'year': 2023, 'total': 2461}, '2024': {'year': 2024, 'total': 2697}}","{'names': ['2018-4 IH BORROWER'], 'type': 'Organization', 'mailingAddress': {'id': '1717-Main-St,-STE-2000,-Dallas,-TX-75201', 'formattedAddress': '1717 Main St, STE 2000, Dallas, TX 75201', 'addressLine1': '1717 Main St', 'addressLine2': 'STE 2000', 'city': 'Dallas', 'state': 'TX', 'zipCode': '75201'}}",False,
"6328-Randolph-Ave,-Orlando,-FL-32809","6328 Randolph Ave, Orlando, FL 32809",6328 Randolph Ave,,Orlando,FL,32809,Orange,28.469064,-81.366055,Multi-Family,2.0,1.0,768.0,,,,,,,,,,,,
"319-E-Pierce-Ave,-Orlando,-FL-32809","319 E Pierce Ave, Orlando, FL 32809",319 E Pierce Ave,,Orlando,FL,32809,Orange,28.469268,-81.372133,Multi-Family,3.0,3.0,2764.0,1933.0,24-23-29-0192-16-080,9502.0,W R ANNOS ADD TO PINECASTLE F/53 LOT 8 BLK 16,ANNO W R ADD TO PINECASTLE,R-3,"{'architectureType': 'Duplex', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'fireplace': True, 'floorCount': 1, 'garage': True, 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 3}","{'2022': {'year': 2022, 'value': 125872, 'land': 65000, 'improvements': 60872}}","{'2022': {'year': 2022, 'total': 2160}}","{'names': ['SOLER FAMILY TRUST'], 'mailingAddress': {'id': '3200-Lake-Margaret-Dr,-Orlando,-FL-32806', 'addressLine1': '3200 Lake Margaret Dr', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32806'}}",False,
"321-E-Pierce-Ave,-Orlando,-FL-32809","321 E Pierce Ave, Orlando, FL 32809",321 E Pierce Ave,,Orlando,FL,32809,Orange,28.469039,-81.37209,Single Family,3.0,1.0,1600.0,,,,,,,,,,,,
"6563-Cherry-Grove-Cir,-Orlando,-FL-32809","6563 Cherry Grove Cir, Orlando, FL 32809",6563 Cherry Grove Cir,,Orlando,FL,32809,Orange,28.458005,-81.374215,Single Family,4.0,2.0,1864.0,2001.0,25-23-29-4446-02-150,6454.0,LAKE GLORIA PRESERVE PHASE 2B 42/131 LOT 215,LAKE GLORIA PRESERVE PH 2-B,R-3,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2022': {'year': 2022, 'value': 272302, 'land': 80000, 'improvements': 192302}, '2023': {'year': 2023, 'value': 318877, 'land': 90000, 'improvements': 228877}}","{'2022': {'year': 2022, 'total': 4197}, '2023': {'year': 2023, 'total': 4728}}","{'names': ['TAH 2017-1 BORROWER LLC'], 'type': 'Organization', 'mailingAddress': {'id': 'PO-BOX-15087,-Santa-Ana,-CA-92735', 'formattedAddress': 'PO BOX 15087, Santa Ana, CA 92735', 'addressLine1': 'PO BOX 15087', 'addressLine2': None, 'city': 'Santa Ana', 'state': 'CA', 'zipCode': '92735'}}",False,
"2323-Mccoy-Rd,-Apt-617,-Belle-Isle,-FL-32809","2323 Mccoy Rd, Apt 617, Belle Isle, FL 32809",2323 Mccoy Rd,Apt 617,Belle Isle,FL,32809,Orange,28.452472,-81.352218,Condo,2.0,2.0,863.0,1973.0,,10019.0,,,,,,,,,
"742-Ridenhour-Cir,-Unit-742,-Orlando,-FL-32809","742 Ridenhour Cir, Unit 742, Orlando, FL 32809",742 Ridenhour Cir,Unit 742,Orlando,FL,32809,Orange County,28.452826,-81.386777,Condo,4.0,2.0,820.0,,,,,,,,,,,,
"5197-Magnolia-St,-Orlando,-FL-32809","5197 Magnolia St, Orlando, FL 32809",5197 Magnolia St,,Orlando,FL,32809,Orange,28.485756,-81.371216,Single Family,2.0,1.0,520.0,,,,,,,,,,,,
"417-Declaration-Dr,-Orlando,-FL-32809","417 Declaration Dr, Orlando, FL 32809",417 Declaration Dr,,Orlando,FL,32809,Orange,28.455839,-81.378481,Single Family,3.0,2.0,1729.0,1975.0,26-23-29-0145-01-540,9971.0,AMERICAN HERITAGE ESTATES 4/2 LOT 154,AMERICAN HERITAGE ESTS,R-1A,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2022': {'year': 2022, 'value': 258390, 'land': 60000, 'improvements': 198390}, '2023': {'year': 2023, 'value': 313887, 'land': 80000, 'improvements': 233887}}","{'2022': {'year': 2022, 'total': 4153}, '2023': {'year': 2023, 'total': 4750}}","{'names': ['2019-1 IH BORROWER LP'], 'type': 'Organization', 'mailingAddress': {'id': '1717-Main-St,-STE-2000,-Dallas,-TX-75201', 'formattedAddress': '1717 Main St, STE 2000, Dallas, TX 75201', 'addressLine1': '1717 Main St', 'addressLine2': 'STE 2000', 'city': 'Dallas', 'state': 'TX', 'zipCode': '75201'}}",False,
"5750-A-Chipola-Cir,-Orlando,-FL-32809","5750-A Chipola Cir, Orlando, FL 32809",5750-A Chipola Cir,,Orlando,FL,32809,Orange,28.476124,-81.393585,Single Family,1.0,1.0,506.0,,,,,,,,,,,,
"1649-1-2-W-Oak-Ridge-Rd,-Orlando,-FL-32809","1649 1/2 W Oak Ridge Rd, Orlando, FL 32809",1649 1/2 W Oak Ridge Rd,,Orlando,FL,32809,Orange,28.473103,-81.399883,Condo,3.0,2.0,2254.0,2001.0,222329910500001,,WEATHERLY CONDO AT CENTRAL PARK CB 22/10COMMON AREA,,R-3,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block / Stucco', 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'pool': True}",,,{'names': ['']},False,
"117-W-Lancaster-Rd,-Apt-B,-Orlando,-FL-32809","117 W Lancaster Rd, Apt B, Orlando, FL 32809",117 W Lancaster Rd,Apt B,Orlando,FL,32809,Orange,28.465433,-81.377358,Condo,1.0,1.0,600.0,,,,,,,,,,,,
"1104-Doss-Ave,-Orlando,-FL-32809","1104 Doss Ave, Orlando, FL 32809",1104 Doss Ave,,Orlando,FL,32809,Orange,28.468931,-81.395013,Condo,2.0,1.0,789.0,1999.0,22-23-29-2169-01-104,,,,,,,,,,
"2323-Mccoy-Rd,-Apt-604,-Belle-Isle,-FL-32809","2323 Mccoy Rd, Apt 604, Belle Isle, FL 32809",2323 Mccoy Rd,Apt 604,Belle Isle,FL,32809,Orange,28.452472,-81.352218,Condo,2.0,2.0,863.0,2007.0,,10019.0,,,,,,,,,
"6673-Bouganvillea-Crescent-Dr,-Orlando,-FL-32809","6673 Bouganvillea Crescent Dr, Orlando, FL 32809",6673 Bouganvillea Crescent Dr,,Orlando,FL,32809,Orange,28.455889,-81.374153,Single Family,4.0,2.0,1946.0,1999.0,25-23-29-5887-01-080,7515.0,LAKE GLORIA PRESERVE PHASE 1B 41/38 LOT 108,LAKE GLORIA PRESERVE PH 1-B,R-3,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2022': {'year': 2022, 'value': 283552, 'land': 80000, 'improvements': 203552}, '2023': {'year': 2023, 'value': 332251, 'land': 90000, 'improvements': 242251}}","{'2022': {'year': 2022, 'total': 4368}, '2023': {'year': 2023, 'total': 4922}}","{'names': ['AMH 2014-1 BORROWER LLC'], 'mailingAddress': {'id': '23975-Park,-SORRENTO-STE-300,-Calabasas,-CA-91302', 'formattedAddress': '23975 Park, SORRENTO STE 300, Calabasas, CA 91302', 'addressLine1': '23975 Park', 'addressLine2': 'SORRENTO STE 300', 'city': 'Calabasas', 'state': 'CA', 'zipCode': '91302'}}",False,
"2323-Mccoy-Rd,-Apt-606,-Belle-Isle,-FL-32809","2323 Mccoy Rd, Apt 606, Belle Isle, FL 32809",2323 Mccoy Rd,Apt 606,Belle Isle,FL,32809,Orange County,28.452472,-81.352218,Condo,2.0,2.0,863.0,2007.0,,10019.0,,,,,,,,,
"2323-Mccoy-Orange-Rd,-Apt-607,-Orlando,-FL-32809","2323 Mccoy Orange Rd, Apt 607, Orlando, FL 32809",2323 Mccoy Orange Rd,Apt 607,Orlando,FL,32809,Orange,28.452472,-81.352218,Single Family,2.0,2.0,863.0,2007.0,,,,,,,,,,,
"5928-Statler-Ave,-Orlando,-FL-32809","5928 Statler Ave, Orlando, FL 32809",5928 Statler Ave,,Orlando,FL,32809,Orange,28.471664,-81.378665,,2.0,2.0,784.0,,,,,,,,,,,,
"2727-W-Oak-Ridge-Rd,-Unit-4,-Orlando,-FL-32809","2727 W Oak Ridge Rd, Unit 4, Orlando, FL 32809",2727 W Oak Ridge Rd,Unit 4,Orlando,FL,32809,Orange County,28.472965,-81.414364,Condo,1.0,1.0,730.0,,,,,,,,,,,,
"772-Ridenhour-Cir,-Unit-772,-Orlando,-FL-32809","772 Ridenhour Cir, Unit 772, Orlando, FL 32809",772 Ridenhour Cir,Unit 772,Orlando,FL,32809,Orange County,28.452821,-81.387197,Condo,3.0,2.0,820.0,,,,,,,,,,,,
"7900-S-Orange-Blossom-Trl,-Unit-2060,-Orlando,-FL-32809","7900 S Orange Blossom Trl, Unit 2060, Orlando, FL 32809",7900 S Orange Blossom Trl,Unit 2060,Orlando,FL,32809,Orange County,28.451699,-81.402713,Condo,1.0,1.0,276.0,,,,,,,,,,,,
"7900-S-Orange-Blossom-Trl,-Unit-2056,-Orlando,-FL-32809","7900 S Orange Blossom Trl, Unit 2056, Orlando, FL 32809",7900 S Orange Blossom Trl,Unit 2056,Orlando,FL,32809,Orange County,28.4517,-81.402634,Condo,1.0,1.0,276.0,,,,,,,,,,,,
"789-W-Lancaster-Rd,-Apt-D57,-Orlando,-FL-32809","789 W Lancaster Rd, Apt D57, Orlando, FL 32809",789 W Lancaster Rd,Apt D57,Orlando,FL,32809,Orange,28.465348,-81.388296,Single Family,2.0,1.0,900.0,,,,,,,,,,,,
"6901-Von-Bampus-Dr,-Orlando,-FL-32809","6901 Von Bampus Dr, Orlando, FL 32809",6901 Von Bampus Dr,,Orlando,FL,32809,Orange,28.458026,-81.388128,Single Family,3.0,2.0,1666.0,1968.0,26-23-29-8087-10-120,8624.0,SKY LAKE UNIT SEVEN 2/28 LOT 1012,SKY LAKE,R-1,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2019': {'year': 2019, 'value': 79138}, '2022': {'year': 2022, 'value': 84554}, '2023': {'year': 2023, 'value': 87091}, '2024': {'year': 2024, 'value': 89704}}","{'2019': {'year': 2019, 'total': 925}, '2022': {'year': 2022, 'total': 1005}, '2023': {'year': 2023, 'total': 1081}, '2024': {'year': 2024, 'total': 1169}}","{'names': ['John G Rice', 'Jerry A Rice'], 'type': 'Individual', 'mailingAddress': {'id': '6901-Von-Bampus-Dr,-Orlando,-FL-32809', 'formattedAddress': '6901 Von Bampus Dr, Orlando, FL 32809', 'addressLine1': '6901 Von Bampus Dr', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32809'}}",True,
"6816-Beret-Dr,-Orlando,-FL-32809","6816 Beret Dr, Orlando, FL 32809",6816 Beret Dr,,Orlando,FL,32809,Orange,28.458429,-81.386688,Single Family,3.0,2.0,1350.0,1967.0,26-23-29-8087-09-360,8333.0,SKY LAKE UNIT SIX 1/119 LOT 936,SKY LAKE,R-1,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2019': {'year': 2019, 'value': 64459}, '2022': {'year': 2022, 'value': 68871}, '2023': {'year': 2023, 'value': 70937}, '2024': {'year': 2024, 'value': 73065}}","{'2019': {'year': 2019, 'total': 783}, '2022': {'year': 2022, 'total': 817}, '2023': {'year': 2023, 'total': 868}, '2024': {'year': 2024, 'total': 920}}","{'names': ['Norman Paul Chapman'], 'type': 'Individual', 'mailingAddress': {'id': '6816-Beret-Dr,-Orlando,-FL-32809', 'formattedAddress': '6816 Beret Dr, Orlando, FL 32809', 'addressLine1': '6816 Beret Dr', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32809'}}",True,
"748-Jordan-Ave,-Orlando,-FL-32809","748 Jordan Ave, Orlando, FL 32809",748 Jordan Ave,,Orlando,FL,32809,Orange,28.45794,-81.386744,Single Family,3.0,2.0,1412.0,1967.0,26-23-29-8087-09-390,7255.0,SKY LAKE UNIT SIX 1/119 LOT 939,SKY LAKE,R-1,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2019': {'year': 2019, 'value': 60249}, '2023': {'year': 2023, 'value': 66304}, '2024': {'year': 2024, 'value': 68293}}","{'2019': {'year': 2019, 'total': 753}, '2023': {'year': 2023, 'total': 838}, '2024': {'year': 2024, 'total': 889}}","{'names': ['Frances Lucinda Barron'], 'type': 'Individual', 'mailingAddress': {'id': '748-Jordan-Ave,-Orlando,-FL-32809', 'formattedAddress': '748 Jordan Ave, Orlando, FL 32809', 'addressLine1': '748 Jordan Ave', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32809'}}",True,
