id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,yearBuilt,bedrooms,bathrooms,squareFootage,assessorID,features,lotSize,legalDescription,subdivision,zoning,taxAssessments,propertyTaxes,owner,ownerOccupied,hoa,lastSalePrice
"4334-Lakeway-Dr,-Orlando,-FL-32839","4334 Lakeway Dr, Orlando, FL 32839",4334 Lakeway Dr,,Orlando,FL,32839,Orange,28.499125,-81.413478,Single Family,1976.0,1.0,1.0,642.0,09-23-29-5050-13-030,{'unitCount': 64},,,,,,,,,,
"4344-Aqua-Vista-Dr,-Unit-B,-Orlando,-FL-32839","4344 Aqua Vista Dr, Unit B, Orlando, FL 32839",4344 Aqua Vista Dr,Unit B,Orlando,FL,32839,Orange County,28.498991,-81.413461,Condo,,2.0,1.0,867.0,,,,,,,,,,,,
"5208-Via-Hacienda-Cir,-Unit-A104,-Orlando,-FL-32839","5208 Via Hacienda Cir, Unit A104, Orlando, FL 32839",5208 Via Hacienda Cir,Unit A104,Orlando,FL,32839,Orange County,28.489691,-81.408864,Condo,,2.0,2.0,1073.0,,,,,,,,,,,,
"5451-Millenia-Lakes-Blvd,-Orlando,-FL-32839","5451 Millenia Lakes Blvd, Orlando, FL 32839",5451 Millenia Lakes Blvd,,Orlando,FL,32839,Orange,28.48163,-81.43374,Apartment,2009.0,,,,,,,,,,,,,,,
"5301-Esplanade-Park-Cir,-Apt-6302,-Orlando,-FL-32839","5301 Esplanade Park Cir, Apt 6302, Orlando, FL 32839",5301 Esplanade Park Cir,Apt 6302,Orlando,FL,32839,Orange,28.484439,-81.404104,Apartment,,3.0,2.0,1260.0,,,,,,,,,,,,
"5301-Esplanade-Park-Cir,-Apt-6103,-Orlando,-FL-32839","5301 Esplanade Park Cir, Apt 6103, Orlando, FL 32839",5301 Esplanade Park Cir,Apt 6103,Orlando,FL,32839,Orange,28.484439,-81.404104,Apartment,,2.0,2.0,1066.0,,,,,,,,,,,,
"4777-S-Texas-Ave-Apt-A,-Orlando,-FL-32839","4777 S Texas Ave Apt A, Orlando, FL 32839",4777 S Texas Ave Apt A,,Orlando,FL,32839,Orange,28.492177,-81.405543,Condo,,2.0,2.0,976.0,,,,,,,,,,,,
"3920-Crayrich-Cir,-Orlando,-FL-32839","3920 Crayrich Cir, Orlando, FL 32839",3920 Crayrich Cir,,Orlando,FL,32839,Orange,28.501615,-81.40795,Single Family,1974.0,2.0,2.5,1211.0,10-23-29-3726-19-303,{'unitCount': 40},,,,,,,,,,
"1924-Rose-Blvd,-Orlando,-FL-32839","1924 Rose Blvd, Orlando, FL 32839",1924 Rose Blvd,,Orlando,FL,32839,Orange,28.477765,-81.404065,Condo,,2.0,1.0,,,,,,,,,,,,,
"3701-Conroy-Rd,-Orlando,-FL-32839","3701 Conroy Rd, Orlando, FL 32839",3701 Conroy Rd,,Orlando,FL,32839,Orange,28.487344,-81.423191,Apartment,2003.0,3.0,2.0,1478.0,,,,,,,,,,,,
"3983-Crayrich-Cir,-Unit-C4,-Orlando,-FL-32839","3983 Crayrich Cir, Unit C4, Orlando, FL 32839",3983 Crayrich Cir,Unit C4,Orlando,FL,32839,Orange,28.50326,-81.407837,Townhouse,,2.0,2.5,1211.0,,,,,,,,,,,,
"3726-Palm-Desert-Ln,-Apt-5227,-Orlando,-FL-32839","3726 Palm Desert Ln, Apt 5227, Orlando, FL 32839",3726 Palm Desert Ln,Apt 5227,Orlando,FL,32839,Orange,28.477962,-81.420994,Condo,2000.0,2.0,2.0,1062.0,21-23-29-6304-05-227,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'heating': True, 'heatingType': 'Forced Air', 'roomCount': 3, 'unitCount': 1}",10102.0,GREENS CONDOMINIUM 8919/2522 & 9717/1775 UNIT 5227,GREENS CONDOMINIUM,P-D,"{'2022': {'year': 2022, 'value': 106200, 'land': 21240, 'improvements': 84960}, '2023': {'year': 2023, 'value': 132800, 'land': 26560, 'improvements': 106240}}","{'2022': {'year': 2022, 'total': 1626}, '2023': {'year': 2023, 'total': 1887}}","{'names': ['TU HOGAR INVESTORS LLC'], 'mailingAddress': {'id': 'PO-BOX-622072,-Orlando,-FL-32862', 'formattedAddress': 'PO BOX 622072, Orlando, FL 32862', 'addressLine1': 'PO BOX 622072', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32862'}}",False,,
"3561-Conroy-Rd,-Orlando,-FL-32839","3561 Conroy Rd, Orlando, FL 32839",3561 Conroy Rd,,Orlando,FL,32839,Orange,28.487507,-81.421101,Apartment,,1.0,1.0,784.0,,,,,,,,,,,,
"1916-Lake-Atriums-Cir,-Apt-48,-Orlando,-FL-32839","1916 Lake Atriums Cir, Apt 48, Orlando, FL 32839",1916 Lake Atriums Cir,Apt 48,Orlando,FL,32839,Orange County,28.490198,-81.405637,Condo,1986.0,1.0,1.0,660.0,,,7078.0,,,,,,,,,
"3707-Conroy-Rd,-Orlando,-FL-32839","3707 Conroy Rd, Orlando, FL 32839",3707 Conroy Rd,,Orlando,FL,32839,Orange,28.487406,-81.423852,Condo,,2.0,2.0,1174.0,,,,,,,,,,,,
"3583-Conroy-Rd,-Orlando,-FL-32839","3583 Conroy Rd, Orlando, FL 32839",3583 Conroy Rd,,Orlando,FL,32839,Orange County,28.488446,-81.421977,Single Family,,2.0,2.0,1036.0,,,,,,,,,,,,
"2337-Tom-Jones-St,-Orlando,-FL-32839","2337 Tom Jones St, Orlando, FL 32839",2337 Tom Jones St,,Orlando,FL,32839,Orange,28.4874,-81.410181,Single Family,1974.0,3.0,2.5,1405.0,15-23-29-3798-09-060,{'unitCount': 65},,,,,,,,,,
"5225-Via-Hacienda-Cir,-Apt-115,-Orlando,-FL-32839","5225 Via Hacienda Cir, Apt 115, Orlando, FL 32839",5225 Via Hacienda Cir,Apt 115,Orlando,FL,32839,Orange,28.489405,-81.408328,Condo,1986.0,2.0,2.0,1073.0,,,,,,,,,,,,
"537-Mary-Jess-Rd,-Apt-1,-Orlando,-FL-32839","537 Mary Jess Rd, Apt 1, Orlando, FL 32839",537 Mary Jess Rd,Apt 1,Orlando,FL,32839,Orange,28.480331,-81.381212,Condo,,2.0,1.0,,,,,,,,,,,,,
"1932-Lake-Atriums-Cir,-Apt-75,-Orlando,-FL-32839","1932 Lake Atriums Cir, Apt 75, Orlando, FL 32839",1932 Lake Atriums Cir,Apt 75,Orlando,FL,32839,Orange County,28.490137,-81.406663,Condo,,2.0,2.0,864.0,,,,,,,,,,,,
"2203-Yankee-Pl,-Orlando,-FL-32839","2203 Yankee Pl, Orlando, FL 32839",2203 Yankee Pl,,Orlando,FL,32839,Orange,28.491962,-81.411102,Condo,1994.0,2.0,2.0,900.0,,,7130.0,,,,,,,,,
"5020-Tuscan-Oak-Dr,-Orlando,-FL-32839","5020 Tuscan Oak Dr, Orlando, FL 32839",5020 Tuscan Oak Dr,,Orlando,FL,32839,Orange,28.489364,-81.387482,Single Family,2007.0,5.0,3.0,3377.0,14-23-29-4989-01-180,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}",10172.0,LEGACY 62/76 LOT 118,LEGACY,PD,"{'2020': {'year': 2020, 'value': 371064, 'land': 90000, 'improvements': 281064}, '2021': {'year': 2021, 'value': 388916, 'land': 110000, 'improvements': 278916}, '2022': {'year': 2022, 'value': 479400, 'land': 130000, 'improvements': 349400}, '2023': {'year': 2023, 'value': 546026, 'land': 130000, 'improvements': 416026}}","{'2020': {'year': 2020, 'total': 6898}, '2022': {'year': 2022, 'total': 8066}, '2023': {'year': 2023, 'total': 8951}}","{'names': ['Leblanc Herve P Leblanc Rose Marie', 'Leblanc Maureen G'], 'type': 'Individual', 'mailingAddress': {'id': '5020-Tuscan-Oak-Dr,-Orlando,-FL-32839', 'formattedAddress': '5020 Tuscan Oak Dr, Orlando, FL 32839', 'addressLine1': '5020 Tuscan Oak Dr', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32839'}}",True,,
"2337-Tom-Jones-St,-Unit-6,-Orlando,-FL-32839","2337 Tom Jones St, Unit 6, Orlando, FL 32839",2337 Tom Jones St,Unit 6,Orlando,FL,32839,Orange County,28.487395,-81.410175,Condo,,3.0,2.5,1405.0,,,,,,,,,,,,
"1826-32-Blossom-Ter,-Orlando,-FL-32839","1826-32 Blossom Ter, Orlando, FL 32839",1826-32 Blossom Ter,,Orlando,FL,32839,Orange,28.478619,-81.40332,Apartment,,2.0,1.0,,,,,,,,,,,,,
"3593-Conroy-Rd,-Orlando,-FL-32839","3593 Conroy Rd, Orlando, FL 32839",3593 Conroy Rd,,Orlando,FL,32839,Orange,28.488993,-81.421352,Apartment,,1.0,1.0,782.0,,,,,,,,,,,,
"5100-Millenia-Blvd,-Orlando,-FL-32839","5100 Millenia Blvd, Orlando, FL 32839",5100 Millenia Blvd,,Orlando,FL,32839,Orange,28.47656,-81.44379,Apartment,2015.0,,,,,,,,,,,,,,,
"1830-Blossom-Ter,-Orlando,-FL-32839","1830 Blossom Ter, Orlando, FL 32839",1830 Blossom Ter,,Orlando,FL,32839,Orange,28.47857,-81.403408,Apartment,,2.0,1.0,750.0,,,,,,,,,,,,
"2504-Lemon-Tree-Ln,---3E,-Orlando,-FL-32839","2504 Lemon Tree Ln, # 3E, Orlando, FL 32839",2504 Lemon Tree Ln,# 3E,Orlando,FL,32839,Orange,28.498126,-81.410694,Apartment,,2.0,2.0,976.0,,,,,,,,,,,,
"5231-Via-Hacienda-Cir,-Apt-118,-Orlando,-FL-32839","5231 Via Hacienda Cir, Apt 118, Orlando, FL 32839",5231 Via Hacienda Cir,Apt 118,Orlando,FL,32839,Orange County,28.489399,-81.408332,Condo,1986.0,2.0,2.0,934.0,,,24394.0,,,,,,,,,
"3928-Crayrich-Cir,-Orlando,-FL-32839","3928 Crayrich Cir, Orlando, FL 32839",3928 Crayrich Cir,,Orlando,FL,32839,Orange,28.501615,-81.40795,Single Family,,1.0,1.5,762.0,,,,,,,,,,,,
"4727-S-Texas-Ave-Apt-C,-Orlando,-FL-32839","4727 S Texas Ave Apt C, Orlando, FL 32839",4727 S Texas Ave Apt C,,Orlando,FL,32839,Orange,28.492883,-81.406991,Apartment,,2.0,2.0,976.0,,,,,,,,,,,,
"4004-Barwood-Dr,-Orlando,-FL-32839","4004 Barwood Dr, Orlando, FL 32839",4004 Barwood Dr,,Orlando,FL,32839,Orange,28.502297,-81.404231,Condo,1975.0,2.0,1.5,1164.0,102329529838040,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block / Stucco', 'heating': True, 'heatingType': 'Forced Air', 'unitCount': 1}",,LYME BAY COLONY CONDO CB 3/60 BLDG 38 UNIT 3804,LYME BAY COLONY CONDO,R-3,,,{'names': ['']},False,,
"3615-Conroy-Rd,-Orlando,-FL-32839","3615 Conroy Rd, Orlando, FL 32839",3615 Conroy Rd,,Orlando,FL,32839,Orange,28.490143,-81.420789,Apartment,,2.0,2.0,1174.0,,,,,,,,,,,,
"3702-Palm-Desert-Ln,-Apt-5437,-Orlando,-FL-32839","3702 Palm Desert Ln, Apt 5437, Orlando, FL 32839",3702 Palm Desert Ln,Apt 5437,Orlando,FL,32839,Orange,28.478384,-81.419925,Condo,2000.0,2.0,2.0,1062.0,21-23-29-6304-05-437,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'heating': True, 'heatingType': 'Forced Air', 'roomCount': 3, 'unitCount': 1}",10002.0,GREENS CONDOMINIUM 8919/2522 & 9717/1775 UNIT 5437,GREENS CONDOMINIUM,P-D,"{'2022': {'year': 2022, 'value': 106200, 'land': 21240, 'improvements': 84960}, '2023': {'year': 2023, 'value': 132800, 'land': 26560, 'improvements': 106240}}","{'2022': {'year': 2022, 'total': 1651}, '2023': {'year': 2023, 'total': 1914}}","{'names': ['INCAN LLC'], 'type': 'Organization'}",False,,
"5761-Telipa-Dr,-Orlando,-FL-32839","5761 Telipa Dr, Orlando, FL 32839",5761 Telipa Dr,,Orlando,FL,32839,Orange,28.480513,-81.421877,Single Family,1986.0,3.0,2.0,1157.0,16-23-29-9460-02-310,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}",7722.0,WINTER RUN UNIT 4 B 14/123 LOT 231,WINTER RUN UT 4B,R-2,"{'2022': {'year': 2022, 'value': 213644, 'land': 65000, 'improvements': 148644}, '2023': {'year': 2023, 'value': 241065, 'land': 65000, 'improvements': 176065}}","{'2022': {'year': 2022, 'total': 3273}, '2023': {'year': 2023, 'total': 3627}}","{'names': ['IH2 PROPERTY BORROWER LP'], 'type': 'Organization', 'mailingAddress': {'id': '1717-Main-St,-STE-2000,-Dallas,-TX-75201', 'formattedAddress': '1717 Main St, STE 2000, Dallas, TX 75201', 'addressLine1': '1717 Main St', 'addressLine2': 'STE 2000', 'city': 'Dallas', 'state': 'TX', 'zipCode': '75201'}}",False,,
"5326-Limelight-Cir,-Apt-4,-Orlando,-FL-32839","5326 Limelight Cir, Apt 4, Orlando, FL 32839",5326 Limelight Cir,Apt 4,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5231-Limelight-Cir,-Apt-6,-Orlando,-FL-32839","5231 Limelight Cir, Apt 6, Orlando, FL 32839",5231 Limelight Cir,Apt 6,Orlando,FL,32839,Orange,28.48591,-81.410123,,,,,,,,,,,,,,,,,
"5263-Limelight-Cir,-Apt-5,-Orlando,-FL-32839","5263 Limelight Cir, Apt 5, Orlando, FL 32839",5263 Limelight Cir,Apt 5,Orlando,FL,32839,Orange,28.486303,-81.410267,,,,,,,,,,,,,,,,,
"5215-Limelight-Cir,-Apt-1,-Orlando,-FL-32839","5215 Limelight Cir, Apt 1, Orlando, FL 32839",5215 Limelight Cir,Apt 1,Orlando,FL,32839,Orange,28.485187,-81.410132,,,,,,,,,,,,,,,,,
"5461-Limelight-Cir,-Apt-2,-Orlando,-FL-32839","5461 Limelight Cir, Apt 2, Orlando, FL 32839",5461 Limelight Cir,Apt 2,Orlando,FL,32839,Orange,28.484254,-81.410101,,,,,,,,,,,,,,,,,
"5334-Limelight-Cir,-Apt-2,-Orlando,-FL-32839","5334 Limelight Cir, Apt 2, Orlando, FL 32839",5334 Limelight Cir,Apt 2,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5420-Limelight-Cir,-Apt-4,-Orlando,-FL-32839","5420 Limelight Cir, Apt 4, Orlando, FL 32839",5420 Limelight Cir,Apt 4,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5350-Limelight-Cir,-Apt-1,-Orlando,-FL-32839","5350 Limelight Cir, Apt 1, Orlando, FL 32839",5350 Limelight Cir,Apt 1,Orlando,FL,32839,Orange,28.484259,-81.410814,,,,,,,,,,,,,,,,,
"5412-Limelight-Cir,-Apt-4,-Orlando,-FL-32839","5412 Limelight Cir, Apt 4, Orlando, FL 32839",5412 Limelight Cir,Apt 4,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5302-Limelight-Cir,-Apt-6,-Orlando,-FL-32839","5302 Limelight Cir, Apt 6, Orlando, FL 32839",5302 Limelight Cir,Apt 6,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5216-Limelight-Cir,-Apt-6,-Orlando,-FL-32839","5216 Limelight Cir, Apt 6, Orlando, FL 32839",5216 Limelight Cir,Apt 6,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5206-Limelight-Cir,-Apt-4,-Orlando,-FL-32839","5206 Limelight Cir, Apt 4, Orlando, FL 32839",5206 Limelight Cir,Apt 4,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5437-Limelight-Cir,-Apt-4,-Orlando,-FL-32839","5437 Limelight Cir, Apt 4, Orlando, FL 32839",5437 Limelight Cir,Apt 4,Orlando,FL,32839,Orange,28.483848,-81.410709,,,,,,,,,,,,,,,,,
"5264-Limelight-Cir,-Apt-1,-Orlando,-FL-32839","5264 Limelight Cir, Apt 1, Orlando, FL 32839",5264 Limelight Cir,Apt 1,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5404-Limelight-Cir,-Apt-4,-Orlando,-FL-32839","5404 Limelight Cir, Apt 4, Orlando, FL 32839",5404 Limelight Cir,Apt 4,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5232-Limelight-Cir,-Apt-1,-Orlando,-FL-32839","5232 Limelight Cir, Apt 1, Orlando, FL 32839",5232 Limelight Cir,Apt 1,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5445-Limelight-Cir,-Apt-3,-Orlando,-FL-32839","5445 Limelight Cir, Apt 3, Orlando, FL 32839",5445 Limelight Cir,Apt 3,Orlando,FL,32839,Orange,28.483828,-81.410277,,,,,,,,,,,,,,,,,
"5310-Limelight-Cir,-Apt-6,-Orlando,-FL-32839","5310 Limelight Cir, Apt 6, Orlando, FL 32839",5310 Limelight Cir,Apt 6,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5421-Limelight-Cir,-Apt-2,-Orlando,-FL-32839","5421 Limelight Cir, Apt 2, Orlando, FL 32839",5421 Limelight Cir,Apt 2,Orlando,FL,32839,Orange,28.484304,-81.410913,,,,,,,,,,,,,,,,,
"5429-Limelight-Cir,-Apt-7,-Orlando,-FL-32839","5429 Limelight Cir, Apt 7, Orlando, FL 32839",5429 Limelight Cir,Apt 7,Orlando,FL,32839,Orange,28.483927,-81.411096,,,,,,,,,,,,,,,,,
"5224-Limelight-Cir,-Apt-3,-Orlando,-FL-32839","5224 Limelight Cir, Apt 3, Orlando, FL 32839",5224 Limelight Cir,Apt 3,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5240-Limelight-Cir,-Apt-8,-Orlando,-FL-32839","5240 Limelight Cir, Apt 8, Orlando, FL 32839",5240 Limelight Cir,Apt 8,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5412-Limelight-Cir,-Apt-3,-Orlando,-FL-32839","5412 Limelight Cir, Apt 3, Orlando, FL 32839",5412 Limelight Cir,Apt 3,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5659-Nokomis-Cir,-Orlando,-FL-32839","5659 Nokomis Cir, Orlando, FL 32839",5659 Nokomis Cir,,Orlando,FL,32839,Orange,28.482868,-81.412169,Single Family,1993.0,3.0,2.0,1520.0,16-23-29-8213-03-820,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}",9955.0,SOUTH POINTE UNIT 4 25/28 LOT 382,SOUTH POINTE UT 4,R-2,"{'2019': {'year': 2019, 'value': 160524, 'land': 33000, 'improvements': 127524}, '2021': {'year': 2021, 'value': 187361, 'land': 50000, 'improvements': 137361}, '2023': {'year': 2023, 'value': 246282, 'land': 60000, 'improvements': 186282}, '2024': {'year': 2024, 'value': 271243, 'land': 70000, 'improvements': 201243}}","{'2019': {'year': 2019, 'total': 2763}, '2022': {'year': 2022, 'total': 3473}, '2023': {'year': 2023, 'total': 3860}, '2024': {'year': 2024, 'total': 4367}}","{'names': ['NELSON LIVING TRUST'], 'mailingAddress': {'id': '1846-Windmill-Dr,-Orlando,-FL-32818', 'formattedAddress': '1846 Windmill Dr, Orlando, FL 32818', 'addressLine1': '1846 Windmill Dr', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32818'}}",False,,
"5201-Limelight-Cir,-Apt-2,-Orlando,-FL-32839","5201 Limelight Cir, Apt 2, Orlando, FL 32839",5201 Limelight Cir,Apt 2,Orlando,FL,32839,Orange,28.485563,-81.410133,,,,,,,,,,,,,,,,,
"5350-Limelight-Cir,-Apt-5,-Orlando,-FL-32839","5350 Limelight Cir, Apt 5, Orlando, FL 32839",5350 Limelight Cir,Apt 5,Orlando,FL,32839,Orange,28.484259,-81.410814,,,,,,,,,,,,,,,,,
"5216-Limelight-Cir,-Apt-8,-Orlando,-FL-32839","5216 Limelight Cir, Apt 8, Orlando, FL 32839",5216 Limelight Cir,Apt 8,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5413-Limelight-Cir,-Apt-7,-Orlando,-FL-32839","5413 Limelight Cir, Apt 7, Orlando, FL 32839",5413 Limelight Cir,Apt 7,Orlando,FL,32839,Orange,28.484344,-81.410627,,,,,,,,,,,,,,,,,
"5248-Limelight-Cir,-Apt-6,-Orlando,-FL-32839","5248 Limelight Cir, Apt 6, Orlando, FL 32839",5248 Limelight Cir,Apt 6,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5405-Limelight-Cir,-Apt-6,-Orlando,-FL-32839","5405 Limelight Cir, Apt 6, Orlando, FL 32839",5405 Limelight Cir,Apt 6,Orlando,FL,32839,Orange,28.484828,-81.410514,,,,,,,,,,,,,,,,,
"5223-Limelight-Cir,-Apt-8,-Orlando,-FL-32839","5223 Limelight Cir, Apt 8, Orlando, FL 32839",5223 Limelight Cir,Apt 8,Orlando,FL,32839,Orange,28.485542,-81.410134,,,,,,,,,,,,,,,,,
"5421-Limelight-Cir,-Apt-6,-Orlando,-FL-32839","5421 Limelight Cir, Apt 6, Orlando, FL 32839",5421 Limelight Cir,Apt 6,Orlando,FL,32839,Orange,28.484304,-81.410913,,,,,,,,,,,,,,,,,
"5445-Limelight-Cir,-Apt-7,-Orlando,-FL-32839","5445 Limelight Cir, Apt 7, Orlando, FL 32839",5445 Limelight Cir,Apt 7,Orlando,FL,32839,Orange,28.483828,-81.410277,,,,,,,,,,,,,,,,,
"5263-Limelight-Cir,-Apt-8,-Orlando,-FL-32839","5263 Limelight Cir, Apt 8, Orlando, FL 32839",5263 Limelight Cir,Apt 8,Orlando,FL,32839,Orange,28.486303,-81.410267,,,,,,,,,,,,,,,,,
"5223-Limelight-Cir,-Apt-2,-Orlando,-FL-32839","5223 Limelight Cir, Apt 2, Orlando, FL 32839",5223 Limelight Cir,Apt 2,Orlando,FL,32839,Orange,28.485542,-81.410134,,,,,,,,,,,,,,,,,
"5216-Limelight-Cir,-Apt-2,-Orlando,-FL-32839","5216 Limelight Cir, Apt 2, Orlando, FL 32839",5216 Limelight Cir,Apt 2,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5318-Limelight-Cir,-Apt-3,-Orlando,-FL-32839","5318 Limelight Cir, Apt 3, Orlando, FL 32839",5318 Limelight Cir,Apt 3,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5350-Limelight-Cir,-Apt-6,-Orlando,-FL-32839","5350 Limelight Cir, Apt 6, Orlando, FL 32839",5350 Limelight Cir,Apt 6,Orlando,FL,32839,Orange,28.484259,-81.410814,,,,,,,,,,,,,,,,,
"5232-Limelight-Cir,-Apt-4,-Orlando,-FL-32839","5232 Limelight Cir, Apt 4, Orlando, FL 32839",5232 Limelight Cir,Apt 4,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5302-Limelight-Cir,-Apt-7,-Orlando,-FL-32839","5302 Limelight Cir, Apt 7, Orlando, FL 32839",5302 Limelight Cir,Apt 7,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5460-Limelight-Cir,-Apt-7,-Orlando,-FL-32839","5460 Limelight Cir, Apt 7, Orlando, FL 32839",5460 Limelight Cir,Apt 7,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5404-Limelight-Cir,-Apt-2,-Orlando,-FL-32839","5404 Limelight Cir, Apt 2, Orlando, FL 32839",5404 Limelight Cir,Apt 2,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
"5429-Limelight-Cir,-Apt-1,-Orlando,-FL-32839","5429 Limelight Cir, Apt 1, Orlando, FL 32839",5429 Limelight Cir,Apt 1,Orlando,FL,32839,Orange,28.483927,-81.411096,,,,,,,,,,,,,,,,,
"5206-Limelight-Cir,-Apt-3,-Orlando,-FL-32839","5206 Limelight Cir, Apt 3, Orlando, FL 32839",5206 Limelight Cir,Apt 3,Orlando,FL,32839,Orange,28.484457,-81.410249,,,,,,,,,,,,,,,,,
