id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,yearBuilt,bedrooms,bathrooms,squareFootage,lotSize,assessorID,legalDescription,subdivision,zoning,features,taxAssessments,propertyTaxes,owner,ownerOccupied,hoa
"2019-Dixie-Belle-Dr,-Orlando,-FL-32812","2019 Dixie Belle Dr, Orlando, FL 32812",2019 Dixie Belle Dr,,Orlando,FL,32812,Orange,28.519125,-81.313288,Condo,2007.0,3.0,2.0,1192.0,,,,,,,,,,,
"4143-E-Michigan-St,-Unit-4143,-Orlando,-FL-32812","4143 E Michigan St, Unit 4143, Orlando, FL 32812",4143 E Michigan St,Unit 4143,Orlando,FL,32812,Orange County,28.513645,-81.333425,Condo,,1.0,1.0,548.0,,,,,,,,,,,
"5178-Coddington-St,-Orlando,-FL-32812","5178 Coddington St, Orlando, FL 32812",5178 Coddington St,,Orlando,FL,32812,Orange,28.490132,-81.320585,Single Family,1990.0,3.0,2.0,1442.0,6733.0,16-23-30-1679-00-320,CONWAY LANDINGS 23/84 LOT 32,CONWAY LANDINGS,R-1,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2022': {'year': 2022, 'value': 284827, 'land': 110000, 'improvements': 174827}, '2023': {'year': 2023, 'value': 317920, 'land': 110000, 'improvements': 207920}, '2024': {'year': 2024, 'value': 334573, 'land': 110000, 'improvements': 224573}}","{'2022': {'year': 2022, 'total': 4316}, '2023': {'year': 2023, 'total': 4762}, '2024': {'year': 2024, 'total': 5302}}","{'names': ['TAH MS BORROWER LLC'], 'type': 'Organization', 'mailingAddress': {'id': '1508-Brookhollow-Dr,-Santa-Ana,-CA-92705', 'formattedAddress': '1508 Brookhollow Dr, Santa Ana, CA 92705', 'addressLine1': '1508 Brookhollow Dr', 'addressLine2': None, 'city': 'Santa Ana', 'state': 'CA', 'zipCode': '92705'}}",False,
"5234-Curry-Ford-Rd,-Apt-412,-Orlando,-FL-32812","5234 Curry Ford Rd, Apt 412, Orlando, FL 32812",5234 Curry Ford Rd,Apt 412,Orlando,FL,32812,Orange,28.523364,-81.320258,Condo,1973.0,2.0,1.0,984.0,1179.0,04-23-30-3265-00-412,HACIENDA DEL SOL CONDO 5187/1550 UNIT 412,HACIENDA DEL SOL CONDO,R-3B/AN,"{'cooling': True, 'exteriorType': 'Concrete Block', 'heating': True, 'heatingType': 'Forced Air', 'unitCount': 1, 'architectureType': 'Condo / Apartment'}","{'2020': {'year': 2020, 'value': 59000, 'land': 11800, 'improvements': 47200}, '2023': {'year': 2023, 'value': 93500, 'land': 18700, 'improvements': 74800}}","{'2020': {'year': 2020, 'total': 1224}, '2023': {'year': 2023, 'total': 1550}}","{'names': ['Richard P Stemple'], 'type': 'Individual', 'mailingAddress': {'id': '193-Hildreth-St,-Marlborough,-MA-01752', 'formattedAddress': '193 Hildreth St, Marlborough, MA 01752', 'addressLine1': '193 Hildreth St', 'addressLine2': None, 'city': 'Marlborough', 'state': 'MA', 'zipCode': '01752'}}",False,
"2013-Dixie-Belle-Dr,-Apt-M,-Orlando,-FL-32812","2013 Dixie Belle Dr, Apt M, Orlando, FL 32812",2013 Dixie Belle Dr,Apt M,Orlando,FL,32812,Orange,28.519854,-81.313275,Single Family,1994.0,2.0,2.0,993.0,,,,,,,,,,,
"1624-Don-San-George-Ct,-Orlando,-FL-32812","1624 Don San George Ct, Orlando, FL 32812",1624 Don San George Ct,,Orlando,FL,32812,Orange,28.523264,-81.317687,Single Family,1960.0,3.0,2.0,1248.0,8155.0,04-23-30-7274-00-050,QUEEN ACRES ANNEX Y/28 LOT 5 SEE 1496/650,QUEEN ACRES ANNEX,R-1A/AN,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'roofType': 'Composition Shingle', 'roomCount': 1, 'unitCount': 1}","{'2018': {'year': 2018, 'value': 77639}, '2019': {'year': 2019, 'value': 79114}, '2021': {'year': 2021, 'value': 82067}, '2022': {'year': 2022, 'value': 84529}, '2023': {'year': 2023, 'value': 87065}, '2024': {'year': 2024, 'value': 89677}}","{'2020': {'year': 2020, 'total': 869}, '2022': {'year': 2022, 'total': 911}, '2023': {'year': 2023, 'total': 953}, '2024': {'year': 2024, 'total': 1082}}","{'names': ['Wanda M Robson'], 'type': 'Individual', 'mailingAddress': {'id': '1624-Don-San-George-Ct,-Orlando,-FL-32812', 'formattedAddress': '1624 Don San George Ct, Orlando, FL 32812', 'addressLine1': '1624 Don San George Ct', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32812'}}",True,
"5408-E-Michigan-St,-Apt-4,-Orlando,-FL-32812","5408 E Michigan St, Apt 4, Orlando, FL 32812",5408 E Michigan St,Apt 4,Orlando,FL,32812,Orange,28.513467,-81.315951,Condo,,1.0,1.0,851.0,,,,,,,,,,,
"5432-E-Michigan-St,-Apt-3,-Orlando,-FL-32812","5432 E Michigan St, Apt 3, Orlando, FL 32812",5432 E Michigan St,Apt 3,Orlando,FL,32812,Orange,28.51466,-81.315727,Condo,,2.0,2.0,1103.0,,,,,,,,,,,
"2210-Coach-House-Blvd,-Apt-7,-Orlando,-FL-32812","2210 Coach House Blvd, Apt 7, Orlando, FL 32812",2210 Coach House Blvd,Apt 7,Orlando,FL,32812,Orange,28.51839,-81.328283,Condo,,2.0,1.0,1206.0,,,,,,,,,,,
"5433-Lake-Margaret-Dr,-Apt-D,-Orlando,-FL-32812","5433 Lake Margaret Dr, Apt D, Orlando, FL 32812",5433 Lake Margaret Dr,Apt D,Orlando,FL,32812,Orange,28.50847,-81.316332,Condo,,2.0,2.0,1023.0,,,,,,,,,,,
"2047-Dixie-Belle-Dr,-Apt-F,-Orlando,-FL-32812","2047 Dixie Belle Dr, Apt F, Orlando, FL 32812",2047 Dixie Belle Dr,Apt F,Orlando,FL,32812,Orange,28.517613,-81.312787,Condo,,4.0,2.0,1192.0,,,,,,,,,,,
"2053-Dixie-Belle-Dr,-Apt-H,-Orlando,-FL-32812","2053 Dixie Belle Dr, Apt H, Orlando, FL 32812",2053 Dixie Belle Dr,Apt H,Orlando,FL,32812,Orange,28.517554,-81.313648,Condo,,2.0,2.0,993.0,,,,,,,,,,,
"5456-E-Michigan-St,-Apt-5,-Orlando,-FL-32812","5456 E Michigan St, Apt 5, Orlando, FL 32812",5456 E Michigan St,Apt 5,Orlando,FL,32812,Orange,28.51399,-81.314789,Condo,1990.0,2.0,2.0,1103.0,4775.0,,,,,,,,,,
"2019-Dixie-Belle-Dr,-Apt-Q,-Orlando,-FL-32812","2019 Dixie Belle Dr, Apt Q, Orlando, FL 32812",2019 Dixie Belle Dr,Apt Q,Orlando,FL,32812,Orange,28.518982,-81.31326,Single Family,1994.0,2.0,2.0,993.0,,,,,,,,,,,
"5432-E-Michigan-St,-Apt-8,-Orlando,-FL-32812","5432 E Michigan St, Apt 8, Orlando, FL 32812",5432 E Michigan St,Apt 8,Orlando,FL,32812,Orange,28.513029,-81.315281,Condo,1990.0,2.0,2.0,1126.0,4775.0,,,,,,,,,,
"2035-Dixie-Belle-Dr,-Apt-M,-Orlando,-FL-32812","2035 Dixie Belle Dr, Apt M, Orlando, FL 32812",2035 Dixie Belle Dr,Apt M,Orlando,FL,32812,Orange,28.518183,-81.312856,Condo,,4.0,2.0,1192.0,,,,,,,,,,,
"3117-Bridgeford-Dr,-Orlando,-FL-32812","3117 Bridgeford Dr, Orlando, FL 32812",3117 Bridgeford Dr,,Orlando,FL,32812,Orange,28.511296,-81.315744,Multi-Family,1989.0,2.0,2.0,1052.0,4304.0,04-23-30-2523-00-170,ESSEX POINT SOUTH 19/119 LOT 17,ESSEX POINT SOUTH,R-3A/AN,"{'architectureType': 'Duplex', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 2}","{'2022': {'year': 2022, 'value': 201235, 'land': 60000, 'improvements': 141235}, '2023': {'year': 2023, 'value': 237007, 'land': 70000, 'improvements': 167007}}","{'2022': {'year': 2022, 'total': 3254}, '2023': {'year': 2023, 'total': 3661}}","{'names': ['Cheryl R King'], 'type': 'Individual', 'mailingAddress': {'id': '8102-Moritz-Ct,-Orlando,-FL-32825', 'formattedAddress': '8102 Moritz Ct, Orlando, FL 32825', 'addressLine1': '8102 Moritz Ct', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32825'}}",True,
"2025-Dixie-Belle-Dr,-Apt-G,-Orlando,-FL-32812","2025 Dixie Belle Dr, Apt G, Orlando, FL 32812",2025 Dixie Belle Dr,Apt G,Orlando,FL,32812,Orange,28.51954,-81.313371,Condo,,2.0,2.0,993.0,,,,,,,,,,,
"5457-Lake-Margaret-Dr,-Apt-B,-Orlando,-FL-32812","5457 Lake Margaret Dr, Apt B, Orlando, FL 32812",5457 Lake Margaret Dr,Apt B,Orlando,FL,32812,Orange,28.50783,-81.315458,Single Family,,2.0,2.0,1023.0,,,,,,,,,,,
"5404-E-Michigan-St,-Apt-2,-Orlando,-FL-32812","5404 E Michigan St, Apt 2, Orlando, FL 32812",5404 E Michigan St,Apt 2,Orlando,FL,32812,Orange,28.513916,-81.316379,Apartment,,3.0,2.0,1099.0,,,,,,,,,,,
"2633-Waymeyer-Dr,-Orlando,-FL-32812","2633 Waymeyer Dr, Orlando, FL 32812",2633 Waymeyer Dr,,Orlando,FL,32812,Orange,28.515204,-81.337434,Single Family,1987.0,3.0,2.0,1709.0,4999.0,05-23-30-9080-00-930,WEDGEWOOD GROVES UNIT 1 16/144 LOT 93,WEDGEWOOD GROVES UT 1,R-1/AN,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2020': {'year': 2020, 'value': 240090, 'land': 75000, 'improvements': 165090}, '2021': {'year': 2021, 'value': 258669, 'land': 95000, 'improvements': 163669}, '2023': {'year': 2023, 'value': 334091, 'land': 115000, 'improvements': 219091}}","{'2020': {'year': 2020, 'total': 4547}, '2021': {'year': 2021, 'total': 4858}, '2023': {'year': 2023, 'total': 6086}}","{'names': ['WAYMEYER 2633 LAND TRUST'], 'type': 'Organization', 'mailingAddress': {'id': 'PO-BOX-547863,-Orlando,-FL-32854', 'formattedAddress': 'PO BOX 547863, Orlando, FL 32854', 'addressLine1': 'PO BOX 547863', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32854'}}",False,
"7210-Seminole-Dr,-Apt-3,-Belle-Isle,-FL-32812","7210 Seminole Dr, Apt 3, Belle Isle, FL 32812",7210 Seminole Dr,Apt 3,Belle Isle,FL,32812,Orange,28.461442,-81.340727,Apartment,,3.0,1.5,1500.0,,,,,,,,,,,
"2007-Dixie-Belle-Dr,-Apt-J,-Orlando,-FL-32812","2007 Dixie Belle Dr, Apt J, Orlando, FL 32812",2007 Dixie Belle Dr,Apt J,Orlando,FL,32812,Orange,28.520484,-81.313383,Condo,,2.0,1.5,830.0,,,,,,,,,,,
"3845-Gatlin-Place-Cir,-Orlando,-FL-32812","3845 Gatlin Place Cir, Orlando, FL 32812",3845 Gatlin Place Cir,,Orlando,FL,32812,Orange,28.496861,-81.326031,Single Family,1991.0,4.0,3.0,2389.0,8628.0,09-23-30-2961-00-720,GATLIN PLACE PHASE 1 26/146 LOT 72,GATLIN PLACE PH 1,R-1A,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2022': {'year': 2022, 'value': 279107}, '2023': {'year': 2023, 'value': 441295, 'land': 110000, 'improvements': 331295}}","{'2022': {'year': 2022, 'total': 4108}, '2023': {'year': 2023, 'total': 7254}}","{'names': ['EVELLO GIRALDO', 'EVEILO GIRALDO REVOCABLE TRUST'], 'type': 'Organization', 'mailingAddress': {'id': '12119-Dakota-Woods-Ln,-Orlando,-FL-32824', 'formattedAddress': '12119 Dakota Woods Ln, Orlando, FL 32824', 'addressLine1': '12119 Dakota Woods Ln', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32824'}}",False,
"2047-Dixie-Belle-Dr,-Apt-R,-Orlando,-FL-32812","2047 Dixie Belle Dr, Apt R, Orlando, FL 32812",2047 Dixie Belle Dr,Apt R,Orlando,FL,32812,Orange,28.517613,-81.312787,Condo,,3.0,2.0,1192.0,,,,,,,,,,,
"5416-E-Michigan-St,-Apt-2,-Orlando,-FL-32812","5416 E Michigan St, Apt 2, Orlando, FL 32812",5416 E Michigan St,Apt 2,Orlando,FL,32812,Orange,28.514705,-81.31604,Condo,1990.0,2.0,2.0,1126.0,4775.0,,,,,,,,,,
"5452-E-Michigan-St,-Apt-8,-Orlando,-FL-32812","5452 E Michigan St, Apt 8, Orlando, FL 32812",5452 E Michigan St,Apt 8,Orlando,FL,32812,Orange,28.513662,-81.315274,Condo,1990.0,2.0,2.0,1126.0,4775.0,,,,,,,,,,
"2071-Dixie-Belle-Dr,-Apt-G,-Orlando,-FL-32812","2071 Dixie Belle Dr, Apt G, Orlando, FL 32812",2071 Dixie Belle Dr,Apt G,Orlando,FL,32812,Orange,28.519104,-81.314054,Condo,,1.0,1.5,830.0,,,,,,,,,,,
"5266-Whitstable-Way,-Apt-8,-Orlando,-FL-32812","5266 Whitstable Way, Apt 8, Orlando, FL 32812",5266 Whitstable Way,Apt 8,Orlando,FL,32812,Orange,28.520137,-81.319805,Condo,1992.0,2.0,2.0,1078.0,,,,,,{'architectureType': 'Condo / Apartment'},,,,,
"5468-E-Michigan-St,-Apt-7,-Orlando,-FL-32812","5468 E Michigan St, Apt 7, Orlando, FL 32812",5468 E Michigan St,Apt 7,Orlando,FL,32812,Orange,28.514266,-81.314809,Condo,1990.0,1.0,1.0,836.0,3696.0,,,,,,,,,,
"2025-Dixie-Belle-Dr,-Apt-D,-Orlando,-FL-32812","2025 Dixie Belle Dr, Apt D, Orlando, FL 32812",2025 Dixie Belle Dr,Apt D,Orlando,FL,32812,Orange,28.51954,-81.313371,Condo,,3.0,2.0,993.0,,,,,,,,,,,
"5415-Rutland-Ct,-Orlando,-FL-32812","5415 Rutland Ct, Orlando, FL 32812",5415 Rutland Ct,,Orlando,FL,32812,Orange County,28.510968,-81.315096,Single Family,1987.0,3.0,2.0,1428.0,4303.0,,,,,,,,,,
"3185-Touraine-Ave,-Orlando,-FL-32812","3185 Touraine Ave, Orlando, FL 32812",3185 Touraine Ave,,Orlando,FL,32812,Orange,28.505165,-81.33521,Single Family,1972.0,3.0,2.0,2314.0,12690.0,08-23-30-0157-01-130,ANDERSON HEIGHTS 3/130 LOT 113,ANDERSON HGTS,R-1A,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2020': {'year': 2020, 'value': 285589, 'land': 70000, 'improvements': 215589}, '2022': {'year': 2022, 'value': 364549, 'land': 125000, 'improvements': 239549}, '2023': {'year': 2023, 'value': 407175, 'land': 125000, 'improvements': 282175}}","{'2020': {'year': 2020, 'total': 4757}, '2022': {'year': 2022, 'total': 5686}, '2023': {'year': 2023, 'total': 6279}}","{'names': ['WILLIAM H KNOTT'], 'mailingAddress': {'id': '2055-S-Atlantic-Ave,-APT-308,-Daytona-Beach,-FL-32118', 'formattedAddress': '2055 S Atlantic Ave, APT 308, Daytona Beach, FL 32118', 'addressLine1': '2055 S Atlantic Ave', 'addressLine2': 'APT 308', 'city': 'Daytona Beach', 'state': 'FL', 'zipCode': '32118'}}",True,
"5428-E-Michigan-St,-Apt-5,-Orlando,-FL-32812","5428 E Michigan St, Apt 5, Orlando, FL 32812",5428 E Michigan St,Apt 5,Orlando,FL,32812,Orange,28.514675,-81.315804,Single Family,,2.0,2.0,1103.0,,,,,,,,,,,
"5343-Emerald-Isle-Dr,-Orlando,-FL-32812","5343 Emerald Isle Dr, Orlando, FL 32812",5343 Emerald Isle Dr,,Orlando,FL,32812,Orange,28.51834,-81.317512,Single Family,1973.0,2.0,2.0,1109.0,,04-23-30-2180-04-020,,,,{'unitCount': 6},,,,,
"2065-Dixie-Belle-Dr,-Apt-I,-Orlando,-FL-32812","2065 Dixie Belle Dr, Apt I, Orlando, FL 32812",2065 Dixie Belle Dr,Apt I,Orlando,FL,32812,Orange,28.519187,-81.314479,Condo,,3.0,2.0,993.0,,,,,,,,,,,
"5424-E-Michigan-St,-Apt-7,-Orlando,-FL-32812","5424 E Michigan St, Apt 7, Orlando, FL 32812",5424 E Michigan St,Apt 7,Orlando,FL,32812,Orange,28.5129,-81.315931,Condo,1990.0,2.0,2.0,1103.0,4775.0,,,,,,,,,,{'fee': 437}
"2071-Dixie-Belle-Dr,-Apt-I,-Orlando,-FL-32812","2071 Dixie Belle Dr, Apt I, Orlando, FL 32812",2071 Dixie Belle Dr,Apt I,Orlando,FL,32812,Orange,28.51917,-81.314479,Condo,,2.0,2.0,853.0,,,,,,,,,,,
"2053-Dixie-Belle-Dr,-Apt-J,-Orlando,-FL-32812","2053 Dixie Belle Dr, Apt J, Orlando, FL 32812",2053 Dixie Belle Dr,Apt J,Orlando,FL,32812,Orange,28.517554,-81.313648,Condo,,3.0,2.0,1192.0,,,,,,,,,,,
"2007-Dixie-Belle-Dr,-Apt-L,-Orlando,-FL-32812","2007 Dixie Belle Dr, Apt L, Orlando, FL 32812",2007 Dixie Belle Dr,Apt L,Orlando,FL,32812,Orange,28.520484,-81.313383,Condo,,2.0,1.5,830.0,,,,,,,,,,,
"5420-E-Michigan-St,-Apt-1,-Orlando,-FL-32812","5420 E Michigan St, Apt 1, Orlando, FL 32812",5420 E Michigan St,Apt 1,Orlando,FL,32812,Orange,28.512922,-81.316376,Condo,1990.0,3.0,2.0,1120.0,8033.0,,,,,,,,,,
"5456-E-Michigan-St,-Apt-3,-Orlando,-FL-32812","5456 E Michigan St, Apt 3, Orlando, FL 32812",5456 E Michigan St,Apt 3,Orlando,FL,32812,Orange,28.51457,-81.315256,Condo,,2.0,2.0,1103.0,,,,,,,,,,,
"2035-Dixie-Belle-Dr,-Apt-B,-Orlando,-FL-32812","2035 Dixie Belle Dr, Apt B, Orlando, FL 32812",2035 Dixie Belle Dr,Apt B,Orlando,FL,32812,Orange,28.518183,-81.312856,Condo,,4.0,2.0,1189.0,,,,,,,,,,,
"5469-Lake-Margaret-Dr,-Apt-H,-Orlando,-FL-32812","5469 Lake Margaret Dr, Apt H, Orlando, FL 32812",5469 Lake Margaret Dr,Apt H,Orlando,FL,32812,Orange,28.507203,-81.314874,Condo,,2.0,2.0,911.0,,,,,,,,,,,
"3880-Anderson-Rd,-Orlando,-FL-32812","3880 Anderson Rd, Orlando, FL 32812",3880 Anderson Rd,,Orlando,FL,32812,Orange,28.50139,-81.337388,Single Family,2007.0,6.0,11.0,12095.0,133294.0,082330000000005,E 210 FT OF NW1/4 OF NE1/4 OF SW1/4 SEC08-23-30 (LESS N 30 FT RD R/W),ACREAGE & UNREC,R-1A,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Shake', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'roofType': 'Composition Shingle', 'unitCount': 1}",,,"{'names': ['', '']}",False,
"4125-Summerwood-Ave,-Orlando,-FL-32812","4125 Summerwood Ave, Orlando, FL 32812",4125 Summerwood Ave,,Orlando,FL,32812,Orange,28.484945,-81.331907,Single Family,1976.0,4.0,2.0,2235.0,11058.0,17-23-30-4391-20-570,LAKE CONWAY WOODS 4/41 LOT 57 BLK B,LAKE CONWAY WOODS,R-1A,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2019': {'year': 2019, 'value': 173710}, '2020': {'year': 2020, 'value': 177705}, '2022': {'year': 2022, 'value': 185599}, '2023': {'year': 2023, 'value': 191167}}","{'2019': {'year': 2019, 'total': 2506}, '2020': {'year': 2020, 'total': 2548}, '2022': {'year': 2022, 'total': 2624}, '2023': {'year': 2023, 'total': 2690}}","{'names': ['Donna Smith'], 'mailingAddress': {'id': '4125-Summerwood-Ave,-Orlando,-FL-32812', 'formattedAddress': '4125 Summerwood Ave, Orlando, FL 32812', 'addressLine1': '4125 Summerwood Ave', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32812'}}",True,
