id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,yearBuilt,squareFootage,lotSize,assessorID,legalDescription,subdivision,zoning,features,taxAssessments,propertyTaxes,owner,ownerOccupied,hoa
"2500-Lee-Rd,-Apt-239,-Winter-Park,-FL-32789","2500 Lee Rd, Apt 239, Winter Park, FL 32789",2500 Lee Rd,Apt 239,Winter Park,FL,32789,Orange,28.605446,-81.381789,Condo,2.0,1.0,1969.0,851.0,4347.0,01-22-29-4838-02-390,LAKESIDE MANOR APTS CONDO CB 5/19 UNIT 239,LAKESIDE MANOR APTS CONDO,R-3,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'heating': True, 'heatingType': 'Forced Air', 'unitCount': 1}","{'2022': {'year': 2022, 'value': 136200, 'land': 27240, 'improvements': 108960}, '2023': {'year': 2023, 'value': 170200, 'land': 34040, 'improvements': 136160}, '2024': {'year': 2024, 'value': 170200, 'land': 34040, 'improvements': 136160}}","{'2022': {'year': 2022, 'total': 1964}, '2023': {'year': 2023, 'total': 2359}, '2024': {'year': 2024, 'total': 2496}}","{'names': ['2500 LEE ROAD 239 TRUST'], 'type': 'Organization', 'mailingAddress': {'id': '2500-Lee-Rd,-NO-239,-Zellwood,-FL-32798', 'formattedAddress': '2500 Lee Rd, NO 239, Zellwood, FL 32798', 'addressLine1': '2500 Lee Rd', 'addressLine2': 'NO 239', 'city': 'Zellwood', 'state': 'FL', 'zipCode': '32798'}}",True,
"1010-Bungalow-Ave,-Winter-Park,-FL-32789","1010 Bungalow Ave, Winter Park, FL 32789",1010 Bungalow Ave,,Winter Park,FL,32789,Orange,28.589885,-81.36245,Single Family,2.0,2.0,1952.0,900.0,5450.0,12-22-29-1048-02-080,BUNGALOW PARK N/85 LOT 8 BLK B,BUNGALOW PARK (WINTER PARK),R-2,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2022': {'year': 2022, 'value': 252805, 'land': 200000, 'improvements': 52805}, '2023': {'year': 2023, 'value': 330185, 'land': 250000, 'improvements': 80185}, '2024': {'year': 2024, 'value': 330000, 'land': 250000, 'improvements': 80000}}","{'2022': {'year': 2022, 'total': 3738}, '2023': {'year': 2023, 'total': 4530}, '2024': {'year': 2024, 'total': 4786}}","{'names': ['STEVENS D L', 'RANITA L'], 'mailingAddress': {'id': '3337-Middlesex-Rd,-Orlando,-FL-32803', 'formattedAddress': '3337 Middlesex Rd, Orlando, FL 32803', 'addressLine1': '3337 Middlesex Rd', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32803'}}",False,
"1219-Illinois-Ave,-Winter-Park,-FL-32789","1219 Illinois Ave, Winter Park, FL 32789",1219 Illinois Ave,,Winter Park,FL,32789,Orange,28.586642,-81.371134,Single Family,1.0,1.0,,620.0,,,,,,,,,,,
"1250-S-Denning-Dr,-Winter-Park,-FL-32789","1250 S Denning Dr, Winter Park, FL 32789",1250 S Denning Dr,,Winter Park,FL,32789,Orange,28.58611,-81.359799,Condo,2.0,2.0,,913.0,,,,,,,,,,,
"275-N-Capen-Ave,-Winter-Park,-FL-32789","275 N Capen Ave, Winter Park, FL 32789",275 N Capen Ave,,Winter Park,FL,32789,Orange,28.599463,-81.359182,Single Family,2.0,1.0,1925.0,660.0,5387.0,06-22-30-8588-02-020,TAX EQUITIES INC REPLAT Q/82 LOT 2 (LESS BEG NE COR RUN S 49.46 FT W 1.57 FT NLY 49.46 FT E 1.57 FT TO POB) BLK B,TAX EQUITIES INC REP,R-1A,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'garage': True, 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2023': {'year': 2023, 'value': 288382, 'land': 250000, 'improvements': 38382}}","{'2023': {'year': 2023, 'total': 3252}}","{'names': ['JAMES T TALBERT'], 'mailingAddress': {'id': 'PO-BOX-953,-Apopka,-FL-32704', 'formattedAddress': 'PO BOX 953, Apopka, FL 32704', 'addressLine1': 'PO BOX 953', 'addressLine2': None, 'city': 'Apopka', 'state': 'FL', 'zipCode': '32704'}}",False,
"400-Lakewood-Dr,-Winter-Park,-FL-32789","400 Lakewood Dr, Winter Park, FL 32789",400 Lakewood Dr,,Winter Park,FL,32789,Orange,28.602111,-81.342831,Single Family,4.0,6.0,1956.0,4565.0,103273.0,05-22-30-6476-01-102,"LOT:3,9,10 BLK:32,A,N CITY/MUNI/TWP:WINTER PARK SUBD:OSCEOLA SHORES SEC 3 SEC/TWN/RNG/MER:SEC 05 TWN 22S RNG 30E OSCEOLA SHORES SECTION 3 S/87 FROM NE COR LOT 10 BLK A N 32 DEG W 68.88 FT TH N 46 DEG W 48.68 FT TO POB TH AROUND CURVE TO R",OSCEOLA SHORES SEC 3,R-1AAA,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 4, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air Unit', 'pool': True, 'roofType': 'Tile', 'unitCount': 1}","{'2018': {'year': 2018, 'value': 3539968, 'land': 2721600, 'improvements': 818368}}",,"{'names': ['FFT CO #A4'], 'mailingAddress': {'id': '2001-Kirby-Dr,-Houston,-TX-77019', 'addressLine1': '2001 Kirby Dr', 'addressLine2': None, 'city': 'Houston', 'state': 'TX', 'zipCode': '77019'}}",False,
"455-Lakewood-Dr,-Winter-Park,-FL-32789","455 Lakewood Dr, Winter Park, FL 32789",455 Lakewood Dr,,Winter Park,FL,32789,Orange,28.601302,-81.340585,Single Family,4.0,4.0,1954.0,4333.0,60687.0,05-22-30-6476-01-040,CITY/MUNI/TWP:WINTER PARK SUBD:OSCEOLA SHORES SEC 3 SEC/TWN/RNG/MER:SEC 05 TWN 22S RNG 30E OSCEOLA SHORES SECTION 3 S/87 LOT 4 BLK A SEE 6001/4094,OSCEOLA SHORES SEC 3,R-1AAA,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air Unit', 'pool': True, 'poolType': 'Pool and Hot Tub / Spa', 'roofType': 'Tile', 'unitCount': 1}","{'2018': {'year': 2018, 'value': 1742135}}",,"{'names': ['ANA M SANSON'], 'mailingAddress': {'id': '455-Lakewood-Dr,-Winter-Park,-FL-32789', 'addressLine1': '455 Lakewood Dr', 'addressLine2': None, 'city': 'Winter Park', 'state': 'FL', 'zipCode': '32789'}}",True,
"447-Briarwood-Dr,-Winter-Park,-FL-32789","447 Briarwood Dr, Winter Park, FL 32789",447 Briarwood Dr,,Winter Park,FL,32789,Orange,28.577863,-81.343657,Single Family,5.0,3.0,1972.0,2767.0,10835.0,17-22-30-7270-02-130,QUAIL HOLLOW 3/53 LOT 13 BLK B (LESS SWLY 4.78 FT) & S 4.78 FT OF LOT 12 BLK B,QUAIL HOLLOW,R-1AA,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'roofType': 'Composition Shingle', 'roomCount': 1, 'unitCount': 1}","{'2018': {'year': 2018, 'value': 322516}, '2022': {'year': 2022, 'value': 352137}, '2023': {'year': 2023, 'value': 362701}}","{'2022': {'year': 2022, 'total': 4830}, '2023': {'year': 2023, 'total': 5245}}","{'names': ['Weiner S Benjamin', 'Weiner Maura T'], 'type': 'Individual', 'mailingAddress': {'id': '447-Briarwood-Dr,-Winter-Park,-FL-32789', 'formattedAddress': '447 Briarwood Dr, Winter Park, FL 32789', 'addressLine1': '447 Briarwood Dr', 'addressLine2': None, 'city': 'Winter Park', 'state': 'FL', 'zipCode': '32789'}}",True,
"401-Langholm-Dr,-Winter-Park,-FL-32789","401 Langholm Dr, Winter Park, FL 32789",401 Langholm Dr,,Winter Park,FL,32789,Orange,28.592739,-81.329948,Single Family,3.0,2.0,1963.0,1377.0,10965.0,08-22-30-4128-05-030,KENILWORTH SHORES SECTION TWO U/26 LOT 3 BLK E,KENILWORTH SHORES SEC 2,R-1A,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 1, 'unitCount': 1}","{'2018': {'year': 2018, 'value': 362166, 'land': 270000, 'improvements': 92166}, '2022': {'year': 2022, 'value': 382249, 'land': 270000, 'improvements': 112249}, '2023': {'year': 2023, 'value': 521146, 'land': 350000, 'improvements': 171146}}","{'2022': {'year': 2022, 'total': 5906}, '2023': {'year': 2023, 'total': 7285}}","{'names': ['GRAHAM BEVERLY G TRUST'], 'type': 'Organization', 'mailingAddress': {'id': '1401-Grove-Ter,-Winter-Park,-FL-32789', 'formattedAddress': '1401 Grove Ter, Winter Park, FL 32789', 'addressLine1': '1401 Grove Ter', 'addressLine2': None, 'city': 'Winter Park', 'state': 'FL', 'zipCode': '32789'}}",False,
"1500-Norfolk-Ave,-Winter-Park,-FL-32789","1500 Norfolk Ave, Winter Park, FL 32789",1500 Norfolk Ave,,Winter Park,FL,32789,Orange,28.582469,-81.365756,Single Family,2.0,1.0,1947.0,999.0,9283.0,12-22-29-6436-23-071,ORWIN MANOR STRATFORD SECTION L/57 E 37.5 FT LOT 7 & W 25 FT LOT 8 BLK 23,ORWIN MANOR STRATFORD,R-1A,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Asbestos Shingle', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2018': {'year': 2018, 'value': 223631, 'land': 140000, 'improvements': 83631}, '2022': {'year': 2022, 'value': 278687, 'land': 150000, 'improvements': 128687}, '2023': {'year': 2023, 'value': 341473, 'land': 190000, 'improvements': 151473}}","{'2022': {'year': 2022, 'total': 4214}, '2023': {'year': 2023, 'total': 4954}}","{'names': ['STIPE NINA A LIVING TRUST'], 'mailingAddress': {'id': '2715-Santos-Pl,-Orlando,-FL-32806', 'formattedAddress': '2715 Santos Pl, Orlando, FL 32806', 'addressLine1': '2715 Santos Pl', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32806'}}",False,
"1510-Michigan-Ave,-Winter-Park,-FL-32789","1510 Michigan Ave, Winter Park, FL 32789",1510 Michigan Ave,,Winter Park,FL,32789,Orange,28.588329,-81.369584,Multi-Family,3.0,3.0,1986.0,1445.0,7001.0,12-22-29-4996-05-100,LAWNDALE H/118 LOT 10 BLK E,LAWNDALE,R-2,"{'architectureType': 'Duplex', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 2}","{'2018': {'year': 2018, 'value': 261655, 'land': 175000, 'improvements': 86655}, '2023': {'year': 2023, 'value': 348194, 'land': 220000, 'improvements': 128194}, '2024': {'year': 2024, 'value': 371545, 'land': 220000, 'improvements': 151545}}","{'2023': {'year': 2023, 'total': 4997}, '2024': {'year': 2024, 'total': 5559}}","{'names': ['HAYDEN PETER G TRUST'], 'type': 'Organization', 'mailingAddress': {'id': 'PO-BOX-151,-Winter-Park,-FL-32790', 'formattedAddress': 'PO BOX 151, Winter Park, FL 32790', 'addressLine1': 'PO BOX 151', 'addressLine2': None, 'city': 'Winter Park', 'state': 'FL', 'zipCode': '32790'}}",False,
"1528-Michigan-Ave,-Winter-Park,-FL-32789","1528 Michigan Ave, Winter Park, FL 32789",1528 Michigan Ave,,Winter Park,FL,32789,Orange,28.58833,-81.370206,Multi-Family,3.0,3.0,1986.0,1445.0,7001.0,12-22-29-4996-05-060,LAWNDALE H/118 LOT 6 BLK E,LAWNDALE,R-2,"{'architectureType': 'Duplex', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 2}","{'2018': {'year': 2018, 'value': 261655, 'land': 175000, 'improvements': 86655}, '2023': {'year': 2023, 'value': 348194, 'land': 220000, 'improvements': 128194}, '2024': {'year': 2024, 'value': 371545, 'land': 220000, 'improvements': 151545}}","{'2023': {'year': 2023, 'total': 4997}, '2024': {'year': 2024, 'total': 5559}}","{'names': ['HAYDEN PETER G TRUST'], 'type': 'Organization', 'mailingAddress': {'id': 'PO-BOX-151,-Winter-Park,-FL-32790', 'formattedAddress': 'PO BOX 151, Winter Park, FL 32790', 'addressLine1': 'PO BOX 151', 'addressLine2': None, 'city': 'Winter Park', 'state': 'FL', 'zipCode': '32790'}}",False,
"1631-Berkshire-Ave,-Winter-Park,-FL-32789","1631 Berkshire Ave, Winter Park, FL 32789",1631 Berkshire Ave,,Winter Park,FL,32789,Orange,28.583002,-81.371655,Single Family,2.0,1.0,1950.0,1067.0,8450.0,12-22-29-6432-11-021,ORWIN MANOR WESTMINSTER SEC J/118 W 10 FT LOT 2 & ALL LOT 3 BLK 11,ORWIN MANOR WESTMINSTER,R-1A,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2018': {'year': 2018, 'value': 132222}, '2020': {'year': 2020, 'value': 137833}, '2022': {'year': 2022, 'value': 143956}, '2023': {'year': 2023, 'value': 148275}, '2024': {'year': 2024, 'value': 152723}}","{'2020': {'year': 2020, 'total': 2339}, '2022': {'year': 2022, 'total': 3430}, '2023': {'year': 2023, 'total': 3172}, '2024': {'year': 2024, 'total': 3260}}","{'names': ['Joseph A Ranaudo', 'Dawn Robinson'], 'type': 'Individual', 'mailingAddress': {'id': '1631-Berkshire-Ave,-Winter-Park,-FL-32789', 'formattedAddress': '1631 Berkshire Ave, Winter Park, FL 32789', 'addressLine1': '1631 Berkshire Ave', 'addressLine2': None, 'city': 'Winter Park', 'state': 'FL', 'zipCode': '32789'}}",True,
"2011-Jewell-Ave,-Winter-Park,-FL-32789","2011 Jewell Ave, Winter Park, FL 32789",2011 Jewell Ave,,Winter Park,FL,32789,Orange,28.585292,-81.376309,Single Family,2.0,1.0,1947.0,997.0,7316.0,12-22-29-7096-03-051,THE PINES H/14 W 25 FT OF LOT 5 & E 31.75 FT OF LOT 6 BLK C,PINES,R-2,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 1, 'unitCount': 1}","{'2018': {'year': 2018, 'value': 104921}, '2022': {'year': 2022, 'value': 114231}, '2023': {'year': 2023, 'value': 117658}, '2024': {'year': 2024, 'value': 121188}}","{'2022': {'year': 2022, 'total': 1119}, '2023': {'year': 2023, 'total': 1197}, '2024': {'year': 2024, 'total': 1306}}","{'names': ['ADAN ARENA', 'EMMA COLON ARENA', 'Arena Family Trust'], 'type': 'Organization', 'mailingAddress': {'id': '2011-Jewell-Ave,-Winter-Park,-FL-32789', 'formattedAddress': '2011 Jewell Ave, Winter Park, FL 32789', 'addressLine1': '2011 Jewell Ave', 'addressLine2': None, 'city': 'Winter Park', 'state': 'FL', 'zipCode': '32789'}}",True,
"2002-Indiana-Ave,-Winter-Park,-FL-32789","2002 Indiana Ave, Winter Park, FL 32789",2002 Indiana Ave,,Winter Park,FL,32789,Orange,28.586527,-81.376534,Land,,,,,7001.0,12-22-29-4996-16-050,LAWNDALE H/118 LOT 5 BLK P,LAWNDALE,R-2,,"{'2018': {'year': 2018, 'value': 75000, 'land': 75000}, '2022': {'year': 2022, 'value': 172500, 'land': 172500}, '2023': {'year': 2023, 'value': 175000, 'land': 175000}, '2024': {'year': 2024, 'value': 220000, 'land': 220000}}","{'2022': {'year': 2022, 'total': 1997}, '2023': {'year': 2023, 'total': 2092}, '2024': {'year': 2024, 'total': 2558}}","{'names': ['Debra Colleen Blackburn'], 'type': 'Individual', 'mailingAddress': {'id': 'PO-BOX-358325,-Gainesville,-FL-32635', 'formattedAddress': 'PO BOX 358325, Gainesville, FL 32635', 'addressLine1': 'PO BOX 358325', 'addressLine2': None, 'city': 'Gainesville', 'state': 'FL', 'zipCode': '32635'}}",False,
"2036-Jewell-Ave,-Winter-Park,-FL-32789","2036 Jewell Ave, Winter Park, FL 32789",2036 Jewell Ave,,Winter Park,FL,32789,Orange,28.584839,-81.376535,Single Family,2.0,1.0,1926.0,681.0,6016.0,12-22-29-7096-02-210,THE PINES H/14 LOT 21 BLK B,PINES,R-2,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'fireplace': True, 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2018': {'year': 2018, 'value': 120526, 'land': 65000, 'improvements': 55526}, '2021': {'year': 2021, 'value': 201106, 'land': 150000, 'improvements': 51106}, '2022': {'year': 2022, 'value': 230030, 'land': 172500, 'improvements': 57530}, '2023': {'year': 2023, 'value': 242524, 'land': 175000, 'improvements': 67524}, '2024': {'year': 2024, 'value': 293134, 'land': 220000, 'improvements': 73134}}","{'2022': {'year': 2022, 'total': 3750}, '2023': {'year': 2023, 'total': 4039}, '2024': {'year': 2024, 'total': 4766}}","{'names': ['2036 JEWELL AVE LAND TRUST'], 'type': 'Organization', 'mailingAddress': {'id': '1002-Silver-Palm-Ln,-Maitland,-FL-32751', 'formattedAddress': '1002 Silver Palm Ln, Maitland, FL 32751', 'addressLine1': '1002 Silver Palm Ln', 'addressLine2': None, 'city': 'Maitland', 'state': 'FL', 'zipCode': '32751'}}",False,
"2174-Crandon-Ave,-Winter-Park,-FL-32789","2174 Crandon Ave, Winter Park, FL 32789",2174 Crandon Ave,,Winter Park,FL,32789,Orange,28.590112,-81.37988,Land,3.0,1.0,1955.0,1320.0,9125.0,112229618004180,OLYMPIA HEIGHTS ANNEX J/83 LOT 18 & E 15FT OF LOT 19 BLK D,OLYMPIA HEIGHTS ANNEX,R-1A,"{'cooling': True, 'coolingType': 'Wall', 'exteriorType': 'Concrete / Cinder Block', 'floorCount': 1, 'garage': True, 'heating': True, 'roofType': 'Built-up (Layered Asphalt)', 'unitCount': 1}","{'2018': {'year': 2018, 'value': 115000, 'land': 115000}}",,"{'names': ['MICHAEL W DELAWDER, MICHAEL W; DELAWDER, JENNIFER A'], 'mailingAddress': {'id': '2170-Cradon-Ave,-Winter-Park,-FL-32789', 'addressLine1': '2170 Cradon Ave', 'addressLine2': None, 'city': 'Winter Park', 'state': 'FL', 'zipCode': '32789'}}",False,
"2143-Crandon-Ave,-Winter-Park,-FL-32789","2143 Crandon Ave, Winter Park, FL 32789",2143 Crandon Ave,,Winter Park,FL,32789,Orange,28.590654,-81.378308,Single Family,3.0,2.0,1952.0,1150.0,6965.0,112229618003470,OLYMPIA HEIGHTS ANNEX J/83 LOT 47 BLK C (LESS PT OF SW COR TAKEN FOR R/W PER 9567/182),OLYMPIA HGTS ANNEX,R-1A,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Shake', 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2018': {'year': 2018, 'value': 74220}, '2021': {'year': 2021, 'value': 78452}}","{'2021': {'year': 2021, 'total': 903}}","{'names': ['JOHN H BOWMAN'], 'mailingAddress': {'id': '2143-Crandon-Ave,-Winter-Park,-FL-32789', 'addressLine1': '2143 Crandon Ave', 'addressLine2': None, 'city': 'Winter Park', 'state': 'FL', 'zipCode': '32789'}}",True,
"2257-Kentucky-Ave,-Winter-Park,-FL-32789","2257 Kentucky Ave, Winter Park, FL 32789",2257 Kentucky Ave,,Winter Park,FL,32789,Orange,28.592468,-81.37943,Land,2.0,1.0,1944.0,1058.0,7005.0,11-22-29-6180-01-380,OLYMPIA HEIGHTS ANNEX J/83 LOT 38 BLK A,OLYMPIA HGTS ANNEX,C-3,"{'cooling': True, 'coolingType': 'Central', 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1, 'exteriorType': 'Asbestos Shingle'}","{'2018': {'year': 2018, 'value': 52000, 'land': 52000}, '2023': {'year': 2023, 'value': 80000, 'land': 80000}, '2024': {'year': 2024, 'value': 80000, 'land': 80000}}","{'2023': {'year': 2023, 'total': 1229}, '2024': {'year': 2024, 'total': 1231}}","{'names': ['VEICO INVESTMENTS II LLC'], 'type': 'Organization', 'mailingAddress': {'id': '1301-W-Fairbanks-Ave,-Winter-Park,-FL-32789', 'formattedAddress': '1301 W Fairbanks Ave, Winter Park, FL 32789', 'addressLine1': '1301 W Fairbanks Ave', 'addressLine2': None, 'city': 'Winter Park', 'state': 'FL', 'zipCode': '32789'}}",False,
"3679-Midiron-Dr,-Winter-Park,-FL-32789","3679 Midiron Dr, Winter Park, FL 32789",3679 Midiron Dr,,Winter Park,FL,32789,Orange,28.588391,-81.378113,Single Family,2.0,1.0,1942.0,1033.0,7503.0,11-22-29-3056-09-570,GOLFVIEW H/119 LOT 57 BLK I,GOLFVIEW REP,R-1/T/W,"{'cooling': True, 'coolingType': 'Package', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Built-up (Layered Asphalt)', 'unitCount': 1}","{'2018': {'year': 2018, 'value': 110402}, '2022': {'year': 2022, 'value': 120200}, '2023': {'year': 2023, 'value': 123806}, '2024': {'year': 2024, 'value': 127520}}","{'2022': {'year': 2022, 'total': 1550}, '2023': {'year': 2023, 'total': 1610}, '2024': {'year': 2024, 'total': 1719}}","{'names': ['RICHARD M ANNETTE'], 'mailingAddress': {'id': 'PO-BOX-1723,-Winter-Park,-FL-32790', 'formattedAddress': 'PO BOX 1723, Winter Park, FL 32790', 'addressLine1': 'PO BOX 1723', 'addressLine2': None, 'city': 'Winter Park', 'state': 'FL', 'zipCode': '32790'}}",True,
